Domain,Unique Identifier,Name,Last Change Date
Alias Type(),14,AQS PARM CODE,7/21/2020 12:00:00 AM
Alias Type(),2,CAS NUMBER,6/11/2018 1:25:06 PM
Alias Type(),4,EPA ID (SUBSTANCE REGISTRY #),6/11/2018 1:25:06 PM
Alias Type(),5,ITIS TAXON SERIAL NUMBER,6/11/2018 1:25:06 PM
Alias Type(),12,MOLECULAR WEIGHT,10/26/2018 10:38:50 AM
Alias Type(),120,NOAA - National Center for Environm,9/10/2022 12:00:00 AM
Alias Type(),9,NWIS PARM CODE,6/11/2018 1:25:06 PM
Alias Type(),110,ONTOLOGY - HYDRO.GEODAB.EU,5/26/2023 12:00:00 AM
Alias Type(),10,RETIRED NAME,6/11/2018 1:25:06 PM
Alias Type(),1,STANDARDIZE NAME (Normalized),6/6/2020 11:30:46 AM
Alias Type(),7,STORET CHARACTERISTIC NAME,6/11/2018 1:25:06 PM
Alias Type(),8,STORET PARM CODE,6/11/2018 1:25:06 PM
Alias Type(),3,SYSTEMATIC NAME,6/11/2018 1:25:06 PM
Alias Type(),6,TAXON COMMON NAME,6/11/2018 1:25:06 PM
Alias Type(),13,WQP COMPARABLE NAME,9/1/2021 9:28:04 AM
Alias Type(),11,WQX SYNONYM REGISTRY (validation),10/26/2018 10:39:28 AM

