Domain,Unique Identifier,Code,Name,Last Change Date
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),25,ABRAXIS LLC,"Abraxis LLC 54 Steamwhistle Drive Warminster, PA 18974 Phone: 215-357-3911 www.abraxiskits.com",3/6/2012 1:47:00 PM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),29,AFS,American Fisheries Society,7/31/2013 12:00:00 AM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),54391,AGILENT,AGILENT,8/9/2019 10:31:32 AM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),1,AOAC,Association of Official Analytical Chemists,8/11/2006 11:50:00 PM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),2,APHA,American Public Health Association (Standards Methods - SM),8/11/2006 11:50:00 PM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),701,APHA (1991),APHA American Public Health Association Standards Methods publication year 1991,3/30/2018 1:58:45 PM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),700,APHA (1997),APHA American Public Health Association Standards Methods publication year 1997,3/30/2018 1:58:45 PM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),703,APHA (1999),APHA American Public Health Association Standards Methods publication year 1999,3/30/2018 1:58:45 PM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),704,APHA (2000),APHA American Public Health Association Standards Methods publication year 2000,3/30/2018 1:58:45 PM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),705,APHA (2001),APHA American Public Health Association Standards Methods publication year 2001,3/30/2018 1:58:45 PM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),706,APHA (2001) Rev 1.1,APHA American Public Health Association Standards Methods publication year 2001 Rev 1.1,3/30/2018 1:58:45 PM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),702,APHA (2011),APHA American Public Health Association Standards Methods publication year 2011,3/30/2018 1:58:45 PM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),68,APHA_SM19ED,APHA American Public Health Association Standards Methods 19th Edition,12/9/2014 7:34:05 AM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),18,APHA_SM20ED,APHA American Public Health Association Standards Methods 20th Edition,9/7/2007 12:00:00 AM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),22,APHA_SM21ED,APHA American Public Health Association Standards Methods 21th Edition,8/1/2008 1:27:56 PM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),69,APHA_SM22ED,APHA American Public Health Association Standards Methods 22th Edition,12/16/2014 8:52:52 AM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),92,APHA_SM23ED,APHA American Public Health Association Standards Methods 23rd Edition,11/26/2021 12:00:00 AM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),26,ASA(2ND ED.),"American Society of Agronomy (Methods Of Soil Analysis, Part 2 - Chemical and Microbiological Properties)",5/31/2012 5:28:29 PM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),70,ASM,American Society for Microbiology,3/21/2019 11:36:28 AM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),3,ASTM,American Society for Testing of Materials,8/11/2006 11:50:00 PM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),714,ASTM (1987),American Society for Testing of Materials 1987,3/30/2018 12:00:00 AM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),712,ASTM (2011),American Society for Testing of Materials 2011,3/30/2018 2:17:15 PM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),713,ASTM (2012),American Society for Testing of Materials 2012,3/30/2018 2:17:15 PM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),62,BEACON,"Beacon Analytical Systems Inc.,  82 Industrial Park Road,  Saco, Maine 04072, URL: http://www.beaconkits.com/",12/4/2014 1:29:11 PM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),31,BIOO,Bioo Scientific,7/31/2013 12:00:00 AM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),73,BL,BRAN AND LUEBBE METHODs,3/9/2015 3:11:50 PM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),77,CAHFS,"California Animal Health and Food Safety Lab, contact info: Linda S. Aston, PhD  (530) 754-5610  laston@ucdavis.edu ",10/26/2015 6:53:20 AM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),28,CCE,California Current Ecosystem ,12/20/2012 3:57:36 PM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),32,CDC,Center Disease Control and Prevention,7/31/2013 12:00:00 AM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),74,CHEVRON,Chevron,6/4/2015 10:54:27 AM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),66,CSIRO,CSIRO Australia Phone: +61 3 9545 2176  Fax: +61 3 9545 2175 URL: http://www.csiro.au/  Email - Enquiries@csiro.au,12/4/2014 2:01:47 PM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),89,DIN,German Institute for Standardization OR German Institute for Norms,11/26/2021 12:00:00 AM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),75,DOE,Department of Energy Environmental Measurements Laboratory,7/22/2015 10:11:17 AM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),90,EN,European Norm,11/26/2021 12:00:00 AM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),4,ENV/CANADA,"Environment Canada, Technology Development Branch",8/11/2006 11:50:00 PM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),67,ENVCANADA-AWQMSD,"Environment Canada  Atlantic Water Quality Monitoring and Surveillance Division  Dartmouth, NS B2Y 1N6",12/4/2014 2:01:47 PM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),34,ENVCANADA-NWRI,National Water Research Institute http://www.ec.gc.ca/inre-nwri/,7/31/2013 12:00:00 AM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),35,ENVIROLOGIX,EnviroLogix Inc.,7/31/2013 12:00:00 AM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),5,FISON,"Fisons Instruments Co, Applied Research Labs Division",3/1/2014 9:55:00 PM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),6,HACH,Hach Chemical Company,8/11/2006 11:50:00 PM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),96,HANNA,"Hanna Instruments HANNAinst.com in Italy, make science testing equipment.",7/5/2024 9:59:12 AM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),95,HOBO,"ONSETcomp.com For more than 40 years, our HOBO and InTemp brands' data loggers, remote monitoring tools, and software solutions",7/5/2024 9:59:12 AM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),17,IDEXX,IDEXX Laboratories,9/7/2007 11:27:37 AM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),7,IL/SWSD,Illinois State Water Survey,8/11/2006 11:50:00 PM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),94,IN-SITU,In-Situ.com - ,7/27/2023 2:56:44 PM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),8,ISO,International Organization for Standardization,8/11/2006 11:50:00 PM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),81,ITS,Industrial Test Systems Inc.,10/4/2021 12:14:07 PM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),82,KINGWOOD,Kingwood Diagnostics LLC,10/4/2021 12:18:09 PM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),27,LACHAT,Lachat Instruments -- A Hach Company Brand,8/21/2012 12:00:00 AM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),23,LECK MITCHELL,"Mitchell Method - Leck Mitchell, PhD, PE, 656 Independence Valley Dr., Grand Junction, CO 81507",6/10/2010 3:29:33 PM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),57,LEGENDRE,"Legendre, P. and Legendre, L.",7/31/2013 12:00:00 AM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),83,LUDLUM,Ludlum Measurements,10/4/2021 12:18:09 PM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),60,LaMOTTE,LaMOTTE,10/28/2014 12:00:00 AM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),56450,MASSWATER,"MassWateR - Massachusetts surface water quality, a Mass Bays National Estuary Partnership.",12/12/2022 5:59:50 PM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),36,MD DNR,Maryland Department of Natural Resources,7/31/2013 12:00:00 AM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),37,MI DEQ SURFACE WATER,Michigan Department of Environmental Quality,7/31/2013 12:00:00 AM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),38,MICROLOGY LABS,Micrology Laboratories L.L.C.,7/31/2013 12:00:00 AM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),80,MODERN WATER***retired***use MWI,Modern Water,7/6/2021 5:18:56 PM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),39,MODIFIED COLITAG,CPI International,7/31/2013 12:00:00 AM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),40,MWI,Modern Water Inc.,7/31/2013 12:00:00 AM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),9,NCASI,"Nat. Council, Paper Industry for Air & Stream Improvement",8/11/2006 11:50:00 PM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),30,NCL,North Coast Laboratories,6/4/2015 10:52:36 AM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),88,NIH/NLM,National Institute of Health / National Library of Medicine,10/19/2021 1:28:54 PM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),10,NIOSH,National Institute for Occupational Safety and Health,8/11/2006 11:50:00 PM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),41,NIWA,National Institute of Water and Atmospheric Research Ltd,7/31/2013 12:00:00 AM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),42,NPS,National Parks service,7/31/2013 12:00:00 AM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),43,NTU UK,Nottingham Trent University,7/31/2013 12:00:00 AM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),78,NZME-NIWA,"The New Zealand Ministry for the Environment, NIWA, P.O. Box 8602, Christchurch, New Zealand",9/9/2016 1:27:18 PM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),44,O-I-ANALYTICAL,OI Analytical,7/31/2013 12:00:00 AM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),45,OK ST U,Oklahoma State University,7/31/2013 12:00:00 AM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),46,ORNL,Oak Ridge National Laboratory,7/31/2013 12:00:00 AM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),79,PACE LABS,"Pace Analytical Services, LLC",6/24/2019 8:52:30 AM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),47,PALINTEST LTD,Palintest Ltd,7/31/2013 12:00:00 AM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),48,PRACTICAL STATS,Practical Stats,7/31/2013 12:00:00 AM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),19,QuickDrops,"Long Island Sound, Save The Sound Unified Water Study",9/20/2023 2:02:33 PM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),84,R-BIOPHARM,R -Biopharm Inc.,10/4/2021 12:20:21 PM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),54789,RSC,Royal Society of Chemistry rsc.org,5/18/2020 5:45:18 PM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),91,SEAL,Seal Analytical ,11/26/2021 12:00:00 AM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),85,SEI,SE International,10/4/2021 12:20:21 PM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),55869,SGS_AXYS,SGS-AXYS,3/23/2022 12:18:07 PM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),49,SWAN ANALYTISCHE,SWAN Analytische Instrumente AG,7/31/2013 12:00:00 AM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),86,SYAGEN,Syagen Technology Inc.,10/4/2021 12:27:50 PM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),50,SYNGENTA,Syngenta Crop Protection,7/31/2013 12:00:00 AM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),51,SYSTEA SCIENTIFIC,"Systea Scientific, LLC",7/31/2013 12:00:00 AM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),54330,Source Molecular,Source Molecular - https://sourcemolecular.com,7/9/2019 2:33:58 PM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),632,TDH LAB,Tennessee Department of Health (TDH) Laboratory Services consists Microbiology Laboratory and Environmental Laboratory.,2/4/2016 1:03:06 PM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),52,THERMO-SCIENTIFIC,Thermo-Scientific,7/31/2013 12:00:00 AM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),76,TIMBERLINE,Timberline Instruments by Askew Scientific Consulting LLC,8/3/2015 9:09:30 AM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),72,TNRCC,TEXAS NATURAL RESOURCE CONSERVATION COMMISSION,3/28/2014 12:00:00 AM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),54469,TVA,Tennessee Valley Authority,9/17/2019 12:43:18 PM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),58,Technicon,Technicon Industrial Systems,11/18/2013 1:44:00 PM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),59,Turner Designs,Turner Designs,5/20/2014 12:00:00 AM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),56,UBC,"University of British Columbia, Professor Emeritus Department of Zoology",7/31/2013 12:00:00 AM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),53,UC-DAVIS,"University of California, Dept. LAWR",7/31/2013 12:00:00 AM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),87,UCD,"University of California, Davis",10/4/2021 12:27:50 PM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),24,USDA,United States Department of Agriculture,3/25/2011 10:00:09 AM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),93,USDA/ARS,ARS Methods Catalog - USDA Agricultural Research Service / U.S. DEPARTMENT OF AGRICULTURE,6/13/2023 11:55:00 AM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),11,USDOC/NOAA,"USDOC, National Oceanographic and Atmospheric Adm.",8/11/2006 11:50:00 PM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),12,USDOE/ASD,"US Department of Energy, Analytical Services Div.",8/11/2006 11:50:00 PM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),13,USDOE/EML,"US-DOE, Environmental Measurements Lab, New York City, NY",8/11/2006 11:50:00 PM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),33,USDOE/RESL,U.S. Department of Energy Radiological and Environmental Services Laboratory,7/31/2013 12:00:00 AM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),14,USDOI/USGS,"US-DOI, Geological Survey",8/11/2006 11:50:00 PM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),15,USEPA,U.S. Environmental Protection Agency,8/11/2006 11:50:00 PM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),711,USEPA Rev (1974),U.S. Environmental Protection Agency Revision year 1974,3/30/2018 1:58:45 PM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),715,USEPA Rev 1.2,U.S. Environmental Protection Agency Revision 1.2,3/9/2021 12:38:57 PM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),716,USEPA Rev 1.4,U.S. Environmental Protection Agency Revision 1.4,3/9/2021 12:00:00 AM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),709,USEPA Rev 2.0,U.S. Environmental Protection Agency Revision 2.0,3/30/2018 1:58:45 PM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),708,USEPA Rev 2.1,U.S. Environmental Protection Agency Revision 2.1,3/30/2018 1:58:45 PM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),710,USEPA Rev 2.2,U.S. Environmental Protection Agency Revision 2.2,3/30/2018 1:58:45 PM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),718,USEPA Rev 3.0,U.S. Environmental Protection Agency Revision 3.0,12/30/2022 12:00:00 AM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),717,USEPA Rev 4.4,U.S. Environmental Protection Agency Revision 4.4,12/30/2022 12:00:00 AM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),707,USEPA Rev 5.4,U.S. Environmental Protection Agency Revision 5.4,3/30/2018 1:58:45 PM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),16,USFDA,"USFDA, Management Methods Branch/DMS Food and Drug Adm.",8/11/2006 11:50:00 PM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),54,WDNR FISH HABITAT,"State of Wisconsin, Department of Natural Resources Bureau of Fisheries Management and Habitat Protection",7/31/2013 12:00:00 AM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),55,WEST INC,WEST Inc,7/31/2013 12:00:00 AM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),100,WREP-125,"Western Region Extension Publication, 3rd Edition",11/18/2024 2:57:57 PM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),633,WSDOE,Washington State Department of Ecology,11/6/2023 10:24:01 AM
Analytical Method Context(ResultAnalyticalMethod/MethodIdentifierContext),61,YSI,YSI INCORPORATED,12/4/2014 1:20:50 PM

