Domain,Unique Identifier,Name,Description,Last Change Date
Habit(HabitName),1,Burrower,To dig a hole or tunnel for habitation or refuge. 2. To live or hide in such a place. 3. To move or progress by or as if by digging or tunneling:,7/18/2008 11:57:55 AM
Habit(HabitName),5,Climber,a person or animal that climbs. a vine or climbing plant that readily grows up a support or over other plants.,7/18/2008 11:57:57 AM
Habit(HabitName),3,Clinger,"to adhere closely; stick to: The wet paper clings to the glass. 2. to hold tight, as by grasping or embracing; cleave",7/18/2008 11:57:56 AM
Habit(HabitName),94,Diver,a person or animal that dives into water.,10/11/2017 7:52:12 AM
Habit(HabitName),74,Mixed,consisting of different qualities or elements. containing a mixture of both favorable and negative elements. composed of different varieties of the same thing.,2/14/2017 12:33:25 PM
Habit(HabitName),9,Other,used to refer to a person or thing that is different or distinct from one already mentioned or known about. further; additional.,7/18/2008 11:57:59 AM
Habit(HabitName),6,Skater,"a person who skates, especially on ice.",7/18/2008 11:57:57 AM
Habit(HabitName),2,Sprawler,To sit or lie with the body and limbs spread out awkwardly. 2. To spread out in a straggling or disordered fashion: untidy tenements sprawling toward the river. v.tr. To cause to spread out in a straggling or disordered fashion.,7/18/2008 11:57:56 AM
Habit(HabitName),4,Swimmer,"a person or animal that swims. To move along in water, etc, by means of movements of the body or parts of the body.",7/18/2008 11:57:57 AM
Habit(HabitName),7,Unidentified,not recognized or identified.,7/18/2008 11:57:58 AM
Habit(HabitName),8,Unknown,not known or familiar.,7/18/2008 11:57:58 AM

