Domain,Unique Identifier,Code,Name,Description,Last Change Date
Local Aquifer Context(AquiferInformation/LocalAquiferCodeContext),1390,"00, Atlantic coast from Maine ","00, Atlantic coast from Maine to Virginia State Agencies",,11/13/2019 10:32:13 AM
Local Aquifer Context(AquiferInformation/LocalAquiferCodeContext),1391,"75, Atlantic coast from North ","75, Atlantic coast from North Carolina to Florida, and the coasts of Puerto Rico and Virgin Islands State Agencies",,11/13/2019 10:32:13 AM
Local Aquifer Context(AquiferInformation/LocalAquiferCodeContext),1407,"77, Gulf of Mexico","77, Gulf of Mexico State Agencies",,11/13/2019 10:32:13 AM
Local Aquifer Context(AquiferInformation/LocalAquiferCodeContext),1422,"96, Lake Erie","96, Lake Erie State Agencies",,11/13/2019 10:32:13 AM
Local Aquifer Context(AquiferInformation/LocalAquiferCodeContext),1376,Alabama,Alabama State Agencies,,11/13/2019 10:32:13 AM
Local Aquifer Context(AquiferInformation/LocalAquiferCodeContext),1382,Alaska,Alaska State Agencies,,11/13/2019 10:32:13 AM
Local Aquifer Context(AquiferInformation/LocalAquiferCodeContext),1396,American Samoa,American Samoa State Agencies,,11/13/2019 10:32:13 AM
Local Aquifer Context(AquiferInformation/LocalAquiferCodeContext),1377,Arizona,Arizona State Agencies,,11/13/2019 10:32:13 AM
Local Aquifer Context(AquiferInformation/LocalAquiferCodeContext),1372,Arkansas,Arkansas State Agencies,,11/13/2019 10:32:13 AM
Local Aquifer Context(AquiferInformation/LocalAquiferCodeContext),1384,California,California State Agencies,,11/13/2019 10:32:13 AM
Local Aquifer Context(AquiferInformation/LocalAquiferCodeContext),1385,Colorado,Colorado State Agencies,,11/13/2019 10:32:13 AM
Local Aquifer Context(AquiferInformation/LocalAquiferCodeContext),1378,Connecticut,Connecticut State Agencies,,11/13/2019 10:32:13 AM
Local Aquifer Context(AquiferInformation/LocalAquiferCodeContext),1415,Delaware,Delaware State Agencies,,11/13/2019 10:32:13 AM
Local Aquifer Context(AquiferInformation/LocalAquiferCodeContext),1392,District of Columbia,District of Columbia State Agencies,,11/13/2019 10:32:13 AM
Local Aquifer Context(AquiferInformation/LocalAquiferCodeContext),1411,Florida,Florida State Agencies,,11/13/2019 10:32:13 AM
Local Aquifer Context(AquiferInformation/LocalAquiferCodeContext),1374,Gaum_Local,Gaum Local State Agencies,,11/13/2019 10:32:13 AM
Local Aquifer Context(AquiferInformation/LocalAquiferCodeContext),1423,Georgia,Georgia State Agencies,,11/13/2019 10:32:13 AM
Local Aquifer Context(AquiferInformation/LocalAquiferCodeContext),1389,"Georgia, Florida","Georgia, Florida State Agencies",,11/13/2019 10:32:13 AM
Local Aquifer Context(AquiferInformation/LocalAquiferCodeContext),1424,Hawaii,Hawaii State Agencies,,11/13/2019 10:32:13 AM
Local Aquifer Context(AquiferInformation/LocalAquiferCodeContext),1399,Idaho,Idaho State Agencies,,11/13/2019 10:32:13 AM
Local Aquifer Context(AquiferInformation/LocalAquiferCodeContext),1425,Illinois,Illinois State Agencies,,11/13/2019 10:32:13 AM
Local Aquifer Context(AquiferInformation/LocalAquiferCodeContext),1416,Indiana,Indiana State Agencies,,11/13/2019 10:32:13 AM
Local Aquifer Context(AquiferInformation/LocalAquiferCodeContext),1403,Iowa,Iowa State Agencies,,11/13/2019 10:32:13 AM
Local Aquifer Context(AquiferInformation/LocalAquiferCodeContext),1413,Kansas,Kansas State Agencies,,11/13/2019 10:32:13 AM
Local Aquifer Context(AquiferInformation/LocalAquiferCodeContext),1414,Kentucky,Kentucky State Agencies,,11/13/2019 10:32:13 AM
Local Aquifer Context(AquiferInformation/LocalAquiferCodeContext),1,LOCAL,Official / Published list of local aquifer codes State Agencies,belonging or relating to a particular area or region that has common features,10/23/2019 3:25:46 PM
Local Aquifer Context(AquiferInformation/LocalAquiferCodeContext),1394,Louisiana,Louisiana State Agencies,,11/13/2019 10:32:13 AM
Local Aquifer Context(AquiferInformation/LocalAquiferCodeContext),1398,Maine,Maine State Agencies,,11/13/2019 10:32:13 AM
Local Aquifer Context(AquiferInformation/LocalAquiferCodeContext),1418,Marshall Islands,Marshall Islands State Agencies,,11/13/2019 10:32:13 AM
Local Aquifer Context(AquiferInformation/LocalAquiferCodeContext),1383,Maryland,Maryland State Agencies,,11/13/2019 10:32:13 AM
Local Aquifer Context(AquiferInformation/LocalAquiferCodeContext),1408,Massachusetts,Massachusetts State Agencies,,11/13/2019 10:32:13 AM
Local Aquifer Context(AquiferInformation/LocalAquiferCodeContext),1400,Michigan,Michigan State Agencies,,11/13/2019 10:32:13 AM
Local Aquifer Context(AquiferInformation/LocalAquiferCodeContext),1428,Midway Islands,Midway Islands State Agencies,,11/13/2019 10:32:13 AM
Local Aquifer Context(AquiferInformation/LocalAquiferCodeContext),1404,Minnesota,Minnesota State Agencies,,11/13/2019 10:32:13 AM
Local Aquifer Context(AquiferInformation/LocalAquiferCodeContext),1417,Mississippi,Mississippi State Agencies,,11/13/2019 10:32:13 AM
Local Aquifer Context(AquiferInformation/LocalAquiferCodeContext),1420,Missouri,Missouri State Agencies,,11/13/2019 10:32:13 AM
Local Aquifer Context(AquiferInformation/LocalAquiferCodeContext),1380,Montana,Montana State Agencies,,11/13/2019 10:32:13 AM
Local Aquifer Context(AquiferInformation/LocalAquiferCodeContext),1375,Nebraska,Nebraska State Agencies,,11/13/2019 10:32:13 AM
Local Aquifer Context(AquiferInformation/LocalAquiferCodeContext),1401,Nevada,Nevada State Agencies,,11/13/2019 10:32:13 AM
Local Aquifer Context(AquiferInformation/LocalAquiferCodeContext),1419,New Hampshire,New Hampshire State Agencies,,11/13/2019 10:32:13 AM
Local Aquifer Context(AquiferInformation/LocalAquiferCodeContext),1370,New Jersey,New Jersey State Agencies,,11/13/2019 10:32:13 AM
Local Aquifer Context(AquiferInformation/LocalAquiferCodeContext),1373,New Mexico,New Mexico State Agencies,,11/13/2019 10:32:13 AM
Local Aquifer Context(AquiferInformation/LocalAquiferCodeContext),1381,New York,New York State Agencies,,11/13/2019 10:32:13 AM
Local Aquifer Context(AquiferInformation/LocalAquiferCodeContext),1405,North Carolina,North Carolina State Agencies,,11/13/2019 10:32:13 AM
Local Aquifer Context(AquiferInformation/LocalAquiferCodeContext),1397,North Dakota,North Dakota State Agencies,,11/13/2019 10:32:13 AM
Local Aquifer Context(AquiferInformation/LocalAquiferCodeContext),1432,Ohio,Ohio State Agencies,,11/13/2019 10:32:13 AM
Local Aquifer Context(AquiferInformation/LocalAquiferCodeContext),1409,Oklahoma,Oklahoma State Agencies,,11/13/2019 10:32:13 AM
Local Aquifer Context(AquiferInformation/LocalAquiferCodeContext),1410,Oregon,Oregon State Agencies,,11/13/2019 10:32:13 AM
Local Aquifer Context(AquiferInformation/LocalAquiferCodeContext),1386,Pennsylvania,Pennsylvania State Agencies,,11/13/2019 10:32:13 AM
Local Aquifer Context(AquiferInformation/LocalAquiferCodeContext),1429,Puerto Rico,Puerto Rico State Agencies,,11/13/2019 10:32:13 AM
Local Aquifer Context(AquiferInformation/LocalAquiferCodeContext),1387,Rhode Island,Rhode Island State Agencies,,11/13/2019 10:32:13 AM
Local Aquifer Context(AquiferInformation/LocalAquiferCodeContext),1388,South Carolina,South Carolina State Agencies,,11/13/2019 10:32:13 AM
Local Aquifer Context(AquiferInformation/LocalAquiferCodeContext),1427,South Dakota,South Dakota State Agencies,,11/13/2019 10:32:13 AM
Local Aquifer Context(AquiferInformation/LocalAquiferCodeContext),1379,Tennessee,Tennessee State Agencies,,11/13/2019 10:32:13 AM
Local Aquifer Context(AquiferInformation/LocalAquiferCodeContext),1395,Texas,Texas State Agencies,,11/13/2019 10:32:13 AM
Local Aquifer Context(AquiferInformation/LocalAquiferCodeContext),1402,Utah,Utah State Agencies,,11/13/2019 10:32:13 AM
Local Aquifer Context(AquiferInformation/LocalAquiferCodeContext),1431,"Utah, Nevada","Utah, Nevada State Agencies",,11/13/2019 10:32:13 AM
Local Aquifer Context(AquiferInformation/LocalAquiferCodeContext),1412,Vermont,Vermont State Agencies,,11/13/2019 10:32:13 AM
Local Aquifer Context(AquiferInformation/LocalAquiferCodeContext),1430,Virgin Islands,Virgin Islands State Agencies,,11/13/2019 10:32:13 AM
Local Aquifer Context(AquiferInformation/LocalAquiferCodeContext),1406,Virginia,Virginia State Agencies,,11/13/2019 10:32:13 AM
Local Aquifer Context(AquiferInformation/LocalAquiferCodeContext),1421,Washington,Washington State Agencies,,11/13/2019 10:32:13 AM
Local Aquifer Context(AquiferInformation/LocalAquiferCodeContext),1426,West Virginia,West Virginia State Agencies,,11/13/2019 10:32:13 AM
Local Aquifer Context(AquiferInformation/LocalAquiferCodeContext),1393,Wisconsin,Wisconsin State Agencies,,11/13/2019 10:32:13 AM
Local Aquifer Context(AquiferInformation/LocalAquiferCodeContext),1371,Wyoming,Wyoming State Agencies,,11/13/2019 10:32:13 AM

