Domain,Unique Identifier,Code,Name,Description,Last Change Date,Context Code
Local Aquifer(AquiferInformation/LocalAquiferCode),71,00:200CRSL,Crystalline Rocks,200CRSL,10/10/2019 10:42:32 AM,"00, Atlantic coast from Maine "
Local Aquifer(AquiferInformation/LocalAquiferCode),72,01:100CNZC,Cenozoic Erathem,100CNZC,10/10/2019 10:42:32 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),73,01:110QRNR,Quaternary System,110QRNR,10/10/2019 10:42:32 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),74,01:110QRRT,Quaternary-Tertiary Systems,110QRRT,10/10/2019 10:42:32 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),75,01:111ALVM,Holocene Alluvium,111ALVM,10/10/2019 10:42:32 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),76,01:111CSTL,Coastal Deposits,111CSTL,10/10/2019 10:42:32 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),77,01:111HCPC,Holocene-Pleistocene Series,111HCPC,10/10/2019 10:42:32 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),78,01:111HLCN,Holocene Series,111HLCN,10/10/2019 10:42:32 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),79,01:111LTAV,"Low Terrace Deposits, Alluvium",111LTAV,10/10/2019 10:42:32 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),80,01:111RGLT,Regolith,111RGLT,10/10/2019 10:42:32 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),81,01:111RSDM,Residuum,111RSDM,10/10/2019 10:42:32 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),82,01:111SPRL,Saprolite,111SPRL,10/10/2019 10:42:32 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),83,01:112HGTC,High Terrace Deposits,112HGTC,10/10/2019 10:42:32 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),84,01:112IMTC,Intermediate Terrace Deposits,112IMTC,10/10/2019 10:42:32 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),85,01:112LTRC,Low Terrace Deposits,112LTRC,10/10/2019 10:42:32 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),86,01:112PLSC,Pleistocene Series,112PLSC,10/10/2019 10:42:32 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),87,01:112TRRC,Terrace Deposits,112TRRC,10/10/2019 10:42:32 AM,Alabama
Local Aquifer(AquiferInformation/LocalAquiferCode),88,01:120TRCC,Tertiary-Cretaceous Systems,120TRCC,10/10/2019 10:42:32 AM,Alabama
