Domain,Unique Identifier,Name,Description,Last Change Date
Method Speciation(MethodSpeciationName),257,None,None,3/7/2018 8:55:18 AM
Method Speciation(MethodSpeciationName),377,as %CaCO3,"PERCENT Calcium carbonate is a common substance found in rocks in all parts of the world, and is the main component of shells of marine organisms, snails, coal balls, pearls, and eggshells. It is the active ingredient in agricultural lime, and is created when Ca ions in hard water react with carbonate ions creating limescale.",5/11/2022 10:28:50 AM
Method Speciation(MethodSpeciationName),227,"as 2,4-D","2-(2,4-Dichlorophenoxy)acetic acid or 2,4-D is a widely used herbicide that controls broadleaf weeds that has been used as a pesticide since the 1940s. 2,4-Dichlorophenoxyacetic acid is an organic compound",7/6/2023 3:35:26 PM
Method Speciation(MethodSpeciationName),33,as ANC,"acid neutralizing capacity is a measure for the overall buffering capacity against acidification for a solution, e.g. surface water or soil water. ANC is defined dynamically as the amount of acid needed to change the pH value from the sample's value to a chosen different value.",4/5/2016 12:14:18 PM
Method Speciation(MethodSpeciationName),317,as Al,"Aluminium is a chemical element with the symbol Al and atomic number 13. It is a silvery-white, soft, non-magnetic and ductile metal in the boron group. By mass, aluminium makes up about 8% of the Earth's crust, where it is the third most abundant element and also the most abundant metal.",4/19/2020 10:52:49 AM
Method Speciation(MethodSpeciationName),22,as As,"Arsenic is a naturally occurring element that is widely distributed in the Earth's crust. It is found in water, air, food, and soil.",1/31/2025 8:45:20 AM
Method Speciation(MethodSpeciationName),318,as Atrazine,"Atrazine is a herbicide of the triazine class. It is used to prevent pre- and postemergence broadleaf weeds in crops such as maize and sugarcane and on turf, such as golf courses and residential lawns.",4/19/2020 10:54:11 AM
Method Speciation(MethodSpeciationName),18,as B,"Boron exists as a dark brown to black powder or as an extremely hard, jet-black to silver-gray, brittle, lustrous, metal-like element. It is extracted chiefly from kernite and borax and used in flares, propellant mixtures, nuclear reactor control elements, abrasives, and hard metallic alloys.",7/31/2014 12:00:00 AM
Method Speciation(MethodSpeciationName),157,as Br,Bromine is a chemical element with atomic number 35. and atomic weight 79.904 u ± 0.001 u.  It is the third-lightest halogen.,4/26/2017 2:33:12 PM
Method Speciation(MethodSpeciationName),32,as C,Carbon is a chemical element with atomic number 6. and atomic weight 12.011 u  0.0006 u. It is the first element in group 14 (carbon group).,1/12/2016 10:43:17 AM
Method Speciation(MethodSpeciationName),25,as C3H6O2,"Methyl acetate, also known as MeOAc, acetic acid methyl ester or methyl ethanoate, is a carboxylate ester with the formula CHâ‚ƒCOOCHâ‚ƒ. Molar mass: 74.08 g/mol",7/31/2014 12:00:00 AM
Method Speciation(MethodSpeciationName),137,as CDOM,"is the optically measurable component of the dissolved organic matter in water. CDOM most strongly absorbs short wavelength light ranging from blue to ultraviolet, whereas pure water absorbs longer wavelength red light. Therefore, non-turbid water with little or no CDOM appears blue. The color of water will range through green, yellow-green, and brown as CDOM increases.",3/30/2017 1:02:04 PM
Method Speciation(MethodSpeciationName),326,as CH4,Methane (CH4) is the principal component of natural gas ,3/21/2022 4:31:28 PM
Method Speciation(MethodSpeciationName),355,as CN,"Cyanide is a chemical compound that contains the group C≡N. This group, known as the cyano group, consists of a carbon atom triple-bonded to a nitrogen atom. ",11/26/2021 12:00:00 AM
Method Speciation(MethodSpeciationName),327,as CO2,Carbon dioxide (chemical formula CO 2) is a chemical compound occurring as an acidic colorless gas,3/21/2022 4:31:28 PM
