Domain,Unique Identifier,Code,Name,Description,State Name,Last Change Date
National Aquifer(NationalAquiferCode),2,N100AKUNCD,Alaska unconsolidated-deposit aquifers,Unconsolidated-deposit aquifers (Alaska);     ValidDate: 2001-08-01,Alaska,10/10/2019 10:42:30 AM
National Aquifer(NationalAquiferCode),3,N100ALLUVL,Alluvial aquifers,See note in History;     ValidDate: 2001-08-01,"Arkansas, Colorado, Delaware, Kansas, Kentucky, Louisiana, Maryland, Missouri, Montana, Nebraska, New Jersey, North Dakota, Ohio, Oklahoma, South Dakota, Tennessee, Texas, Utah, Virginia, West Virginia, Wyoming",10/10/2019 10:42:30 AM
National Aquifer(NationalAquiferCode),5,N100BSNRGB,Basin and Range basin-fill aquifers,Basin and Range basin-fill aquifers (southwestern U.S.);     ValidDate: 2001-08-01,"Arizona, California, Idaho, Nevada, New Mexico, Oregon, Utah",10/10/2019 10:42:30 AM
National Aquifer(NationalAquiferCode),9,N100CACSTL,California Coastal Basin aquifers,California Coastal Basin aquifers;     ValidDate: 2001-08-01,California,10/10/2019 10:42:30 AM
National Aquifer(NationalAquiferCode),17,N100CMBPLB,Columbia Plateau basin-fill aquifers,Columbia Plateau basin-fill aquifers;     ValidDate: 2001-08-01,"Idaho, Oregon, Washington",10/10/2019 10:42:30 AM
National Aquifer(NationalAquiferCode),55,N100GLCIAL,Sand and gravel aquifers (glaciated regions),Sand and gravel aquifers of alluvial and glacial origin (North of the line of glaciation);     ValidDate: 2001-08-01,"Connecticut, Illinois, Indiana, Iowa, Kansas, Kentucky, Maine, Massachusetts, Michigan, Minnesota, Missouri, Montana, Nebraska, New Hampshire, New Jersey, New York, North Dakota, Ohio, Pennsylvania, Rhode Island, South Dakota, Vermont, Wisconsin",10/10/2019 10:42:31 AM
National Aquifer(NationalAquiferCode),23,N100HGHPLN,High Plains aquifer,High Plains aquifer;     ValidDate: 2001-08-01,"Colorado, Kansas, Nebraska, New Mexico, Oklahoma, South Dakota, Texas, Wyoming",10/10/2019 10:42:30 AM
National Aquifer(NationalAquiferCode),31,N100MSRVVL,Mississippi River Valley alluvial aquifer,Mississippi River Valley alluvial aquifer;     ValidDate: 2001-08-01,"Arkansas, Illinois, Kentucky, Louisiana, Mississippi, Missouri, Tennessee",10/10/2019 10:42:31 AM
National Aquifer(NationalAquiferCode),43,N100PCFNWB,Pacific Northwest basin-fill aquifers,Pacific Northwest basin-fill aquifers;     ValidDate: 2001-08-01,"California, Idaho, Nevada, Oregon, Utah, Washington, Wyoming",10/10/2019 10:42:31 AM
National Aquifer(NationalAquiferCode),44,N100PCFNWV,Pacific Northwest volcanic-rock aquifers,Pacific Northwest basaltic-rock aquifers;     ValidDate: 2001-08-01,"California, Idaho, Montana, Nevada, Oregon, Utah, Washington, Wyoming",10/10/2019 10:42:31 AM
National Aquifer(NationalAquiferCode),47,N100PCSRVR,Pecos River Basin alluvial aquifer,Pecos River Basin alluvial aquifer (Texas and New Mexico);     ValidDate: 2001-08-01,"New Mexico, Texas",10/10/2019 10:42:31 AM
National Aquifer(NationalAquiferCode),56,N100SYMOUR,Seymour aquifer,Seymour aquifer (Texas);     ValidDate: 2001-08-01,Texas,10/10/2019 10:42:31 AM
National Aquifer(NationalAquiferCode),69,N100WLMLWD,Willamette Lowland basin-fill aquifers,Willamette Lowland basin-fill aquifers (Oregon);     ValidDate: 2001-08-01,"Oregon, Washington",10/10/2019 10:42:32 AM
National Aquifer(NationalAquiferCode),1,N300ADAVMS,Ada-Vamoosa aquifer,Ada-Vamoosa aquifer (Oklahoma);     ValidDate: 2001-08-01,Oklahoma,10/10/2019 10:42:30 AM
National Aquifer(NationalAquiferCode),12,N300CNRLOK,Central Oklahoma aquifer,Central Oklahoma aquifer;     ValidDate: 2001-08-01,Oklahoma,10/10/2019 10:42:30 AM
National Aquifer(NationalAquiferCode),15,N300COPLTS,Colorado Plateaus aquifers,Colorado Plateaus aquifers;     ValidDate: 2001-08-01,"Arizona, Colorado, New Mexico, Utah, Wyoming",10/10/2019 10:42:30 AM
National Aquifer(NationalAquiferCode),19,N300ERLMZC,Early Mesozoic basin aquifers,Early Mesozoic basin aquifers (eastern U.S.);     ValidDate: 2001-08-01,"Connecticut, Maryland, Massachusetts, New Jersey, New York, North Carolina, Pennsylvania, Virginia",10/10/2019 10:42:30 AM
National Aquifer(NationalAquiferCode),25,N300JCBSVL,Jacobsville aquifer,Jacobsville aquifer (Michigan);     ValidDate: 2001-08-01,"Michigan, Wisconsin",10/10/2019 10:42:30 AM
National Aquifer(NationalAquiferCode),27,N300LCRTCS,Lower Cretaceous aquifers,Lower Cretaceous aquifers (northern Great Plains);     ValidDate: 2001-08-01,"Iowa, Kansas, Minnesota, Montana, Nebraska, North Dakota, South Dakota, Wyoming",10/10/2019 10:42:31 AM
National Aquifer(NationalAquiferCode),28,N300LTRTRY,Lower Tertiary aquifers,Lower Tertiary aquifers (northern Great Plains);     ValidDate: 2001-08-01,"Montana, North Dakota, South Dakota, Wyoming",10/10/2019 10:42:31 AM
National Aquifer(NationalAquiferCode),29,N300MRSHLL,Marshall aquifer,Marshall aquifer (Michigan);     ValidDate: 2001-08-01,Michigan,10/10/2019 10:42:31 AM
National Aquifer(NationalAquiferCode),35,N300NYSDSN,New York sandstone aquifers,New York sandstone aquifers;     ValidDate: 2001-08-01,New York,10/10/2019 10:42:31 AM
National Aquifer(NationalAquiferCode),48,N300PNSLVN,Pennsylvanian aquifers,Pennsylvanian aquifers (central and eastern U.S.);     ValidDate: 2001-08-01,"Alabama, Georgia, Illinois, Indiana, Kentucky, Maryland, Michigan, Ohio, Pennsylvania, Tennessee, Virginia, West Virginia",10/10/2019 10:42:31 AM
National Aquifer(NationalAquiferCode),54,N300RSHSPG,Rush Springs aquifer,Rush Springs aquifer (Oklahoma);     ValidDate: 2001-08-01,Oklahoma,10/10/2019 10:42:31 AM
National Aquifer(NationalAquiferCode),60,N300STHCST,South Coast aquifer (Puerto Rico),South Coast aquifer (Puerto Rico);     ValidDate: 2001-08-01,Puerto Rico,10/10/2019 10:42:32 AM
National Aquifer(NationalAquiferCode),66,N300UPCTCS,Upper Cretaceous aquifers,Upper Cretaceous aquifers (northern Great Plains);     ValidDate: 2001-08-01,"Montana, North Dakota, South Dakota, Wyoming",10/10/2019 10:42:32 AM
National Aquifer(NationalAquiferCode),70,N300WYTRTR,Wyoming Tertiary aquifers,Upper Tertiary aquifers (Wyoming);     ValidDate: 2001-08-01,Wyoming,10/10/2019 10:42:32 AM
National Aquifer(NationalAquiferCode),4,N400ABKSMP,Arbuckle-Simpson aquifer,Arbuckle-Simpson aquifer (Oklahoma);     ValidDate: 2001-08-01,Oklahoma,10/10/2019 10:42:30 AM
National Aquifer(NationalAquiferCode),7,N400BISCYN,Biscayne aquifer,Biscayne aquifer (Florida);     ValidDate: 2001-08-01,Florida,10/10/2019 10:42:30 AM
National Aquifer(NationalAquiferCode),8,N400BLAINE,Blaine aquifer,Blaine aquifer (Oklahoma and Texas);     ValidDate: 2001-08-01,"Oklahoma, Texas",10/10/2019 10:42:30 AM
National Aquifer(NationalAquiferCode),6,N400BSNRGC,Basin and Range carbonate-rock aquifers,Basin and Range carbonate-rock aquifers (southwestern U.S.);     ValidDate: 2001-08-01,"Arizona, California, Idaho, Nevada, Utah",10/10/2019 10:42:30 AM
National Aquifer(NationalAquiferCode),11,N400CSLHYN,Castle Hayne aquifer,Castle Hayne aquifer (North Carolina);     ValidDate: 2001-08-01,North Carolina,10/10/2019 10:42:30 AM
National Aquifer(NationalAquiferCode),26,N400KNGSHL,Kingshill aquifer (Virgin Islands),Kingshill aquifer (Virgin Islands);     ValidDate: 2001-08-01,Virgin Islands,10/10/2019 10:42:31 AM
National Aquifer(NationalAquiferCode),36,N400NCSTLM,North Coast Limestone aquifer system (Puerto Rico),North Coast Limestone aquifer system (Puerto Rico);     ValidDate: 2001-08-01,Puerto Rico,10/10/2019 10:42:31 AM
National Aquifer(NationalAquiferCode),34,N400NYNECB,New York and New England carbonate-rock aquifers,New York and New England carbonate-rock aquifers;     ValidDate: 2001-08-01,"Connecticut, Maine, Massachusetts, New Jersey, New York, Pennsylvania, Vermont",10/10/2019 10:42:31 AM
National Aquifer(NationalAquiferCode),40,N400ORDVCN,Ordovician aquifers,Ordovician aquifers (Tennessee and Kentucky);     ValidDate: 2001-08-01,"Kentucky, Tennessee",10/10/2019 10:42:31 AM
National Aquifer(NationalAquiferCode),49,N400PDMBRC,Piedmont and Blue Ridge carbonate-rock aquifers,Piedmont and Blue Ridge carbonate-rock aquifers (eastern U.S.);     ValidDate: 2001-08-01,"Maryland, New Jersey, North Carolina, Pennsylvania",10/10/2019 10:42:31 AM
National Aquifer(NationalAquiferCode),50,N400PDMBRX,Piedmont and Blue Ridge crystalline-rock aquifers,Piedmont and Blue Ridge crystalline-rock aquifers (eastern U.S.);     ValidDate: 2001-08-01,"Alabama, Delaware, District of Columbia, Georgia, Maryland, New Jersey, New York, North Carolina, Pennsylvania, South Carolina, Tennessee, Virginia, West Virginia",10/10/2019 10:42:31 AM
National Aquifer(NationalAquiferCode),57,N400SLRDVN,Silurian-Devonian aquifers,Silurian-Devonian aquifers (northern Midwest);     ValidDate: 2001-08-01,"Illinois, Indiana, Iowa, Kentucky, Michigan, Missouri, Ohio, Tennessee, Wisconsin",10/10/2019 10:42:31 AM
National Aquifer(NationalAquiferCode),65,N400UPCRBN,Upper carbonate aquifer,Upper carbonate aquifer (Minnesota and Iowa);     ValidDate: 2001-08-01,"Iowa, Minnesota",10/10/2019 10:42:32 AM
National Aquifer(NationalAquiferCode),32,N500MSSPPI,Mississippian aquifers,Mississippian aquifers (central and eastern U.S.);     ValidDate: 2001-08-01,"Alabama, Illinois, Indiana, Iowa, Kentucky, Maryland, Missouri, Ohio, Pennsylvania, Tennessee, Virginia, West Virginia",10/10/2019 10:42:31 AM
National Aquifer(NationalAquiferCode),46,N500PLOZOC,Paleozoic aquifers,Paleozoic aquifers (northern Great Plains);     ValidDate: 2001-08-01,"Minnesota, Montana, North Dakota, South Dakota, Wyoming",10/10/2019 10:42:31 AM
National Aquifer(NationalAquiferCode),68,N500VLRDGC,Valley and Ridge carbonate-rock aquifers (No longer valid),(Should be included in Valley and Ridge aquifers.);     ValidDate: 2001-08-01,"Alabama, Georgia, Maryland, New Jersey, Pennsylvania, Tennessee, Virginia, West Virginia",10/10/2019 10:42:32 AM
National Aquifer(NationalAquiferCode),67,N500VLYRDG,Valley and Ridge aquifers,Valley and Ridge aquifers (eastern U.S.);     ValidDate: 2001-08-01,"Alabama, Georgia, Maryland, New Jersey, New York, North Carolina, Pennsylvania, Tennessee, Virginia, West Virginia",10/10/2019 10:42:32 AM
National Aquifer(NationalAquiferCode),16,N600CMBPLV,Columbia Plateau basaltic-rock aquifers,Columbia Plateau basaltic-rock aquifers;     ValidDate: 2001-08-01,"Idaho, Oregon, Washington",10/10/2019 10:42:30 AM
National Aquifer(NationalAquiferCode),22,N600HIVLCC,Hawaii volcanic-rock aquifers,Hawaiian aquifers (Hawaii);     ValidDate: 2001-08-01,Hawaii,10/10/2019 10:42:30 AM
