Domain,Unique Identifier,ID,Name,Tribal Code,Last Change Date,Description,Type
Organization(Organization),243,0800257_WQX,Clear Creek  Superfund,,10/11/2023 10:36:35 AM,Water quality,Federal/US Government
Organization(Organization),225,0800597_WQX,Ogden Railyard (US EPA Region 8),,11/23/2004 12:00:00 AM,Region 8 Superfund Program,Federal/US Government
Organization(Organization),264,0800650_WQX,International Smelter (US EPA Region 8),,7/25/2017 3:59:32 PM,Water quality,Federal/US Government
Organization(Organization),299,0800852_WQX,Mystery Bridge Road - US Highway 20,,8/3/2017 2:47:51 PM,Water Quality Monitoring,Federal/US Government
Organization(Organization),269,0801194_WQX,Summitville Superfund site (US EPA Region 8),,11/23/2004 12:00:00 AM,,Federal/US Government
Organization(Organization),263,0801417_WQX,Red Mountain Pass Zinc (US EPA Region 8),,12/12/2019 11:51:27 AM,Water Quality,Federal/US Government
Organization(Organization),226,0801478_WQX,California Gulch (US EPA Region 8),,12/12/2019 10:13:46 AM,Region 8 Superfund Program,Federal/US Government
Organization(Organization),244,0801505_WQX,French Gulch Superfund  site (US EPA Region 8),,12/12/2019 11:51:47 AM,water quality,Federal/US Government
Organization(Organization),454,0801600_WQX,Captain Jack Mine (Colorado),,11/23/2004 12:00:00 AM,Water Quality Data,Federal/US Government
Organization(Organization),523,0801695_WQX,Region 8 Superfund: Delta 400 West Plume,,6/30/2005 12:00:00 AM,Water Quality Data,Federal/US Government
Organization(Organization),520,0801698_WQX,Region 8 Superfund: 3700-3800 West 2100 South Solvent Plume,,6/30/2005 12:00:00 AM,Water Quality Data,Federal/US Government
Organization(Organization),526,0801812_WQX,Region 8 Superfund: Murray Laundry 4200 S State Plume,,12/12/2019 11:52:11 AM,Water Quality Data,Federal/US Government
Organization(Organization),335,081575_WQX,Slide Mine  Boulder County Colorado,,11/23/2004 12:00:00 AM,,Federal/US Government
Organization(Organization),421,081577_WQX,Vasquez Blvd and I-70,,8/3/2017 3:04:01 PM,The City and County of Denver,Federal/US Government
Organization(Organization),354,081700_WQX,Gilt Edge Mine,,7/16/2003 12:00:00 AM,Gilt Edge Mine data,Federal/US Government
Organization(Organization),303,0834QB00_WQX,Cheyenne River,,6/14/2002 12:00:00 AM,Water Quality Data,Federal/US Government
Organization(Organization),7667,1083919_WQX,Bronx River Alliance (Volunteer),,12/20/2017 11:22:28 AM,Bronx River Alliance,Volunteer
Organization(Organization),89,11113300,New Hampshire Department Of Environmental Services (BEACH),,1/16/2025 11:05:53 AM,STATE OF NEW HAMPSHIRE ENVIRONMENTAL AGENCY,*State Government US
Organization(Organization),86,1111REG1_WQX,"USEPA, Region I",,2/10/2025 8:48:39 AM,Water Quality Monitoring Data,Federal/US Government
Organization(Organization),30,1117MBR_WQX,US EPA Region 7,,1/7/1999 12:00:00 AM,Water Quality Data,Federal/US Government
