Domain,Unique Identifier,Code,Description,Last Change Date
Result Measure Qualifier Deprecated(),6,"""",LCS or LCSD is outside acceptance limits.,1/29/2020 10:41:39 AM
Result Measure Qualifier Deprecated(),266,$,Incorrect sample container,1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),77,*,Sample was warm when received,1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),7,4,"MS, MSD: The analyte present in the original sample is greater than 4 times the matrix spike concentration; therefore, control limits are not applicable",1/29/2020 10:41:39 AM
Result Measure Qualifier Deprecated(),290,A,Compound not analyzed,1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),275,AL,Aldol condensation present. Analyte may not be present.,1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),200,ALK,"Estimate, Alkylated PAH Sum",1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),201,ALT,Alternate Method,1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),202,B,Detection in blank,1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),221,BAC,"Correction Factor, background",1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),8,BDJ,B D J; Detection in blank. Dilution required.  Estimated value,1/29/2020 10:41:39 AM
Result Measure Qualifier Deprecated(),402,BG,Analyte found in sample and associated blank and lock mass interference present,5/21/2021 12:00:00 AM
Result Measure Qualifier Deprecated(),291,BH,Detection in blank. Holding time exceeded. ,1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),9,BJ,B J; Detected in blank.  Estimated value,1/29/2020 10:41:39 AM
Result Measure Qualifier Deprecated(),403,BJG,"Analyte found in sample and associated blank, the reported result is an estimate (the value is less than the minimum calibration level but greater than the estimated detection limit) and lock mass interference present",5/21/2021 12:00:00 AM
Result Measure Qualifier Deprecated(),211,BJHQC,"Estimated value, compound also detected in LRB, holding time exceeded, QC problems",1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),277,BJHT,"Estimated value, compound also detected in LRB, holding time exceeded",1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),278,BJQC,"Estimated value, compound also detected in LRB, QC problems",1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),10,BL,Detection in blank. Lowest available reporting limit for the analytical method used.,1/29/2020 10:41:39 AM
Result Measure Qualifier Deprecated(),11,BMDL,Concentration is less than method detection limit (MDL),1/29/2020 10:41:39 AM
Result Measure Qualifier Deprecated(),203,BQB,Below Quantitation Limit. Detection in blank.,1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),205,BQBJ,Below Quantitation Limit. Detection in blank. Estimated.,1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),292,BQJ,Below Quantitation Limit. Estimated.,1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),222,BQL,Below Quantitation Limit,1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),224,BRL,Below Reporting Limit,1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),219,BU,"Detection in blank.  Not Detected: The analyte was analyzed for, but was not detected at a level greater than or equal to the level of the adjusted Contract Required Quantitation Limit (CRQL) for sample and method. ",1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),66,BVER,Continuing calibration blank criteria was not met,1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),225,C,Presence of compound may be due to contamination of sample during laboratory processing,1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),226,C25,Dual Column result difference >25%,1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),227,CAJ,"Correction Factor, lab",1/14/2020 9:44:49 AM
Result Measure Qualifier Deprecated(),228,CAN,"No Result Reported, analysis canceled",1/14/2020 9:44:49 AM
