Domain,Unique Identifier,Name,Description,Last Change Date
Result Temperature Basis(ResultTemperatureBasisText),1,05 Deg C,5 degrees Celsius (C) are equal to 41 degrees Fahrenheit (F),7/26/2006 10:57:47 AM
Result Temperature Basis(ResultTemperatureBasisText),2,10 Deg C,10 degrees Celsius (C) are equal to 50 degrees Fahrenheit (F),7/26/2006 10:57:47 AM
Result Temperature Basis(ResultTemperatureBasisText),20,100 Deg C,100 degrees Celsius (C) are equal to 212 degrees Fahrenheit (F),3/7/2013 10:57:47 AM
Result Temperature Basis(ResultTemperatureBasisText),29,103 Deg C,103 degrees Celsius (C) are equal to 217.4 degrees Fahrenheit (F),7/31/2014 12:00:00 AM
Result Temperature Basis(ResultTemperatureBasisText),21,104 Deg C,104 degrees Celsius (C) are equal to 219.2 degrees Fahrenheit (F),3/7/2013 10:57:47 AM
Result Temperature Basis(ResultTemperatureBasisText),24,105 Deg C,105 degrees Celsius (C) are equal to 221 degrees Fahrenheit (F),3/5/2014 1:44:00 PM
Result Temperature Basis(ResultTemperatureBasisText),23,110 Deg C,110 degrees Celsius (C) are equal to 230 degrees Fahrenheit (F),3/5/2014 1:44:00 PM
Result Temperature Basis(ResultTemperatureBasisText),3,15 Deg C,15 degrees Celsius (C) are equal to 59 degrees Fahrenheit (F),7/26/2006 10:57:47 AM
Result Temperature Basis(ResultTemperatureBasisText),22,180 Deg C,180 degrees Celsius (C) are equal to 356 degrees Fahrenheit (F),3/5/2014 1:44:00 PM
Result Temperature Basis(ResultTemperatureBasisText),4,20 Deg C,20 degrees Celsius (C) are equal to 68 degrees Fahrenheit (F),7/26/2006 10:57:47 AM
Result Temperature Basis(ResultTemperatureBasisText),31,23 Deg C,23 degrees Celsius (C) are equal to 73.4 degrees Fahrenheit (F),12/4/2023 10:30:19 AM
Result Temperature Basis(ResultTemperatureBasisText),5,25 Deg C,25 degrees Celsius (C) are equal to 77 degrees Fahrenheit (F),7/26/2006 10:57:47 AM
Result Temperature Basis(ResultTemperatureBasisText),36,26 Deg C,26 degrees Celsius (C) are equal to 79 degrees Fahrenheit (F),1/19/2024 12:55:13 PM
Result Temperature Basis(ResultTemperatureBasisText),6,30 Deg C,30 degrees Celsius (C) are equal to 86 degrees Fahrenheit (F),7/26/2006 10:57:47 AM
Result Temperature Basis(ResultTemperatureBasisText),7,35 Deg C,35 degrees Celsius (C) are equal to 95 degrees Fahrenheit (F),7/26/2006 10:57:47 AM
Result Temperature Basis(ResultTemperatureBasisText),28,37 Deg C,37 degrees Celsius (C) are equal to 98.6 degrees Fahrenheit (F),3/5/2014 1:44:00 PM
Result Temperature Basis(ResultTemperatureBasisText),37,4 Deg C,4 degrees Celsius (C) are equal to 39 degrees Fahrenheit (F),1/19/2024 12:55:13 PM
Result Temperature Basis(ResultTemperatureBasisText),8,40 Deg C,40 degrees Celsius (C) are equal to 104 degrees Fahrenheit (F),7/26/2006 10:57:47 AM
Result Temperature Basis(ResultTemperatureBasisText),30,41 Deg C,41 degrees Celsius (C) are equal to 105.8 degrees Fahrenheit (F),3/16/2015 8:05:08 AM
Result Temperature Basis(ResultTemperatureBasisText),38,41.5 Deg C,41.5 degrees Celsius (C) are equal to 107 degrees Fahrenheit (F),1/19/2024 12:55:13 PM
Result Temperature Basis(ResultTemperatureBasisText),27,42 Deg C,42 degrees Celsius (C) are equal to 107.6 degrees Fahrenheit (F),3/5/2014 1:44:00 PM
Result Temperature Basis(ResultTemperatureBasisText),26,43 Deg C,43 degrees Celsius (C) are equal to 109.4 degrees Fahrenheit (F),3/5/2014 1:44:00 PM
