Domain,Unique Identifier,Name,Description,Last Change Date
Result Time Basis(ResultTimeBasisText),43,0 Day,Start of daily time period,12/4/2023 12:06:28 PM
Result Time Basis(ResultTimeBasisText),3,1 Day,"the time of light between one night and the next, occurring in an elapsed time of 24 hours",7/26/2006 10:57:47 AM
Result Time Basis(ResultTimeBasisText),37,1 Year,1 year,7/26/2006 10:57:47 AM
Result Time Basis(ResultTimeBasisText),12,10 Day,10th consecutive day,7/26/2006 10:57:47 AM
Result Time Basis(ResultTimeBasisText),13,11 Day,11st consecutive day,7/26/2006 10:57:47 AM
Result Time Basis(ResultTimeBasisText),14,12 Day,12nd consecutive day,7/26/2006 10:57:47 AM
Result Time Basis(ResultTimeBasisText),35,120 Day,120th consecutive day,7/26/2006 10:57:47 AM
Result Time Basis(ResultTimeBasisText),15,13 Day,13rd consecutive day,7/26/2006 10:57:47 AM
Result Time Basis(ResultTimeBasisText),16,14 Day,14th consecutive day,7/26/2006 10:57:47 AM
Result Time Basis(ResultTimeBasisText),17,15 Day,15th consecutive day,7/26/2006 10:57:47 AM
Result Time Basis(ResultTimeBasisText),235,15 M-Minute,The mean value over 15 minutes.,6/10/2020 1:31:43 PM
Result Time Basis(ResultTimeBasisText),45,15 Minutes,"done, produced, or occurring in an elapsed time of 15 minutes",12/4/2023 12:06:28 PM
Result Time Basis(ResultTimeBasisText),18,16 Day,16th consecutive day,7/26/2006 10:57:47 AM
Result Time Basis(ResultTimeBasisText),19,17 Day,17th consecutive day,7/26/2006 10:57:47 AM
Result Time Basis(ResultTimeBasisText),20,18 Day,18th consecutive day,7/26/2006 10:57:47 AM
Result Time Basis(ResultTimeBasisText),155,18 Hours,"done, produced, or occurring in an elapsed time of 18 hours",2/6/2025 5:01:01 PM
Result Time Basis(ResultTimeBasisText),21,19 Day,19th consecutive day,7/26/2006 10:57:47 AM
Result Time Basis(ResultTimeBasisText),4,2 Day,2nd consecutive day,7/26/2006 10:57:47 AM
Result Time Basis(ResultTimeBasisText),22,20 Day,20th consecutive day,7/26/2006 10:57:47 AM
Result Time Basis(ResultTimeBasisText),153,20 Minutes,"done, produced, or occurring in an elapsed time of 20 minutes",2/6/2025 5:01:01 PM
Result Time Basis(ResultTimeBasisText),23,21 Day,21st consecutive day,7/26/2006 10:57:47 AM
Result Time Basis(ResultTimeBasisText),24,22 Day,22nd consecutive day,7/26/2006 10:57:47 AM
Result Time Basis(ResultTimeBasisText),25,23 Day,23rd consecutive day,7/26/2006 10:57:47 AM
Result Time Basis(ResultTimeBasisText),26,24 Day,24th consecutive day,7/26/2006 10:57:47 AM
Result Time Basis(ResultTimeBasisText),1,24 Hours,"done, produced, or occurring in an elapsed time of 24 hours",7/26/2006 10:57:47 AM
Result Time Basis(ResultTimeBasisText),27,25 Day,25th consecutive day,7/26/2006 10:57:47 AM
Result Time Basis(ResultTimeBasisText),28,26 Day,26th consecutive day,7/26/2006 10:57:47 AM
Result Time Basis(ResultTimeBasisText),29,27 Day,27th consecutive day,7/26/2006 10:57:47 AM
Result Time Basis(ResultTimeBasisText),30,28 Day,28th consecutive day,7/26/2006 10:57:47 AM
Result Time Basis(ResultTimeBasisText),31,29 Day,29th consecutive day,7/26/2006 10:57:47 AM
Result Time Basis(ResultTimeBasisText),5,3 Day,3rd consecutive day,7/26/2006 10:57:47 AM
Result Time Basis(ResultTimeBasisText),32,30 Day,30th consecutive day,7/26/2006 10:57:47 AM
Result Time Basis(ResultTimeBasisText),51,31 Day,31st consecutive day,8/5/2009 12:51:11 PM
Result Time Basis(ResultTimeBasisText),52,32 Day,32nd consecutive day,8/5/2009 12:51:11 PM
Result Time Basis(ResultTimeBasisText),53,33 Day,33rd consecutive day,8/5/2009 12:51:11 PM
Result Time Basis(ResultTimeBasisText),54,34 Day,34th consecutive day,8/5/2009 12:51:11 PM
Result Time Basis(ResultTimeBasisText),55,35 Day,35th consecutive day,8/5/2009 12:51:11 PM
Result Time Basis(ResultTimeBasisText),56,36 Day,36th consecutive day,8/5/2009 12:51:11 PM
Result Time Basis(ResultTimeBasisText),57,37 Day,37th consecutive day,8/5/2009 12:51:11 PM
Result Time Basis(ResultTimeBasisText),58,38 Day,38th consecutive day,8/5/2009 12:51:11 PM
Result Time Basis(ResultTimeBasisText),59,39 Day,39th consecutive day,8/5/2009 12:51:11 PM
Result Time Basis(ResultTimeBasisText),6,4 Day,4th consecutive day,7/26/2006 10:57:47 AM
Result Time Basis(ResultTimeBasisText),60,40 Day,40th consecutive day,8/5/2009 12:51:11 PM
Result Time Basis(ResultTimeBasisText),61,41 Day,41st consecutive day,8/5/2009 12:51:11 PM
Result Time Basis(ResultTimeBasisText),62,42 Day,42nd consecutive day,8/5/2009 12:51:11 PM
Result Time Basis(ResultTimeBasisText),63,43 Day,43rd consecutive day,8/5/2009 12:51:11 PM
Result Time Basis(ResultTimeBasisText),64,44 Day,44th consecutive day,8/5/2009 12:51:11 PM
Result Time Basis(ResultTimeBasisText),65,45 Day,45th consecutive day,8/5/2009 12:51:12 PM
Result Time Basis(ResultTimeBasisText),66,46 Day,46th consecutive day,8/5/2009 12:51:12 PM
Result Time Basis(ResultTimeBasisText),67,47 Day,47th consecutive day,8/5/2009 12:51:12 PM
Result Time Basis(ResultTimeBasisText),68,48 Day,48th consecutive day,8/5/2009 12:51:12 PM
Result Time Basis(ResultTimeBasisText),46,48 Hours,"done, produced, or occurring in an elapsed time of 48 hours",1/11/2024 7:31:02 PM
Result Time Basis(ResultTimeBasisText),69,49 Day,49th consecutive day,8/5/2009 12:51:12 PM
Result Time Basis(ResultTimeBasisText),7,5 Day,5th consecutive day,7/26/2006 10:57:47 AM
Result Time Basis(ResultTimeBasisText),152,5 Minutes,"done, produced, or occurring in an elapsed time of 5 minutes",2/6/2025 5:01:01 PM
Result Time Basis(ResultTimeBasisText),70,50 Day,50th consecutive day,8/5/2009 12:51:12 PM
Result Time Basis(ResultTimeBasisText),71,51 Day,51st consecutive day,8/5/2009 12:51:12 PM
