Domain,Unique Identifier,Name,Description,Last Change Date
Sample Tissue Anatomy(SampleTissueAnatomyName),32,Abdomen,The part of the body of a vertebrate containing the digestive organs; the belly,8/12/2006 12:55:37 AM
Sample Tissue Anatomy(SampleTissueAnatomyName),34,Adrenal,Relating to or denoting a pair of ductless glands situated above the kidneys.,8/12/2006 12:55:37 AM
Sample Tissue Anatomy(SampleTissueAnatomyName),46,Arm,Each of the forelimbs of an animal.,8/12/2006 12:55:37 AM
Sample Tissue Anatomy(SampleTissueAnatomyName),69,Bark,"Bark is the outermost layers of stems and roots of woody plants. Plants with bark include trees, woody vines, and shrubs. Bark refers to all the tissues outside the vascular cambium and is a nontechnical term. It overlays the wood and consists of the inner bark and the outer bark. ",8/12/2006 12:55:37 AM
Sample Tissue Anatomy(SampleTissueAnatomyName),40,Bile,A greenish-brown alkaline fluid that aids digestion and is secreted by the liver and stored in the gallbladder.,8/12/2006 12:55:37 AM
Sample Tissue Anatomy(SampleTissueAnatomyName),21,Blood,"The red liquid that circulates in the arteries and veins of humans and other vertebrate animals, carrying oxygen to and carbon dioxide from the tissues of the body.",8/12/2006 12:55:37 AM
Sample Tissue Anatomy(SampleTissueAnatomyName),22,Blood Plasma,A yellowish liquid component of blood that holds the blood cells in whole blood in suspension.,8/12/2006 12:55:37 AM
Sample Tissue Anatomy(SampleTissueAnatomyName),89,"Blood,Brachial,prim coll site",,7/21/2015 11:14:37 AM
Sample Tissue Anatomy(SampleTissueAnatomyName),90,"Blood,Jugular+Metatarsal, pcs",,7/21/2015 11:14:37 AM
Sample Tissue Anatomy(SampleTissueAnatomyName),87,"Blood,Jugular,prim coll site",,7/21/2015 11:14:35 AM
Sample Tissue Anatomy(SampleTissueAnatomyName),91,"Blood,Metatarsal+Brachial, pcs",,7/21/2015 11:14:38 AM
Sample Tissue Anatomy(SampleTissueAnatomyName),88,"Blood,Metatarsal,prim coll sit",,7/21/2015 11:14:36 AM
Sample Tissue Anatomy(SampleTissueAnatomyName),4,Body,"The physical structure of a person or an animal, including the bones, flesh, and organs.",8/12/2006 12:55:37 AM
Sample Tissue Anatomy(SampleTissueAnatomyName),5,Body Wall,The external surface of an animal body that encloses the body cavity.,8/12/2006 12:55:37 AM
Sample Tissue Anatomy(SampleTissueAnatomyName),8,Bone Tissue,"Bone tissue (osseous tissue) is a hard tissue, a type of dense connective tissue. It has a honeycomb-like matrix internally, which helps to give the bone rigidity. Bone tissue is made up of different types of bone cells. Osteoblasts and osteocytes are involved in the formation and mineralization of bone; osteoclasts are involved in the resorption of bone tissue.",8/12/2006 12:55:37 AM
