Domain,Unique Identifier,Name,Description,Last Change Date
Taxon Group(),4,Aquatic Vegetation,Aquatic Vegetation - https://www.nps.gov/im/klmn/species-lists.htm,9/12/2023 5:56:20 PM
Taxon Group(),5,Bacteria/Virus,Bacteria/Virus - https://www.nps.gov/im/klmn/species-lists.htm,9/12/2023 5:56:20 PM
Taxon Group(),6,Benthic Macroinvertebrates,Benthic Macroinvertebrates - https://www.nps.gov/im/klmn/species-lists.htm,9/12/2023 5:56:20 PM
Taxon Group(),7,Corals,Corals - https://www.nps.gov/im/klmn/species-lists.htm,9/12/2023 5:56:20 PM
Taxon Group(),99,Diatoms,"Diatoms are a type of plankton called phytoplankton, diatoms are classed as microalgae. ",7/24/2024 12:09:20 PM
Taxon Group(),10,Diatoms***retired,"Diatoms are a type of plankton called phytoplankton, diatoms are classed as microalgae. ",1/19/2024 3:14:27 PM
Taxon Group(),2,Fish/Nekton,North American Native Fishes Association Fish List -  http://www.nanfa.org/checklist.shtml,9/13/2022 3:44:00 PM
Taxon Group(),15,Invertebrates,Invertebrate animals is without a vertebral column or lacking backbone/spinal column - https://www.nps.gov/im/klmn/species-lists.htm,7/24/2024 12:00:55 PM
Taxon Group(),8,Invertebrates***retired,Invertebrates - https://www.nps.gov/im/klmn/species-lists.htm,9/12/2023 5:56:20 PM
Taxon Group(),1,Not Assigned,,6/22/2018 3:31:58 PM
Taxon Group(),12,Phytoplankton/Zooplankton,Near-microscopic plants and animals found in the water column between the surface and the bottom. - https://www.nps.gov/im/klmn/species-lists.htm,7/24/2024 12:00:55 PM
Taxon Group(),9,Phytoplankton/Zooplankton***retired,Phytoplankton/Zooplankton - https://www.nps.gov/im/klmn/species-lists.htm,9/12/2023 5:56:20 PM
Taxon Group(),3,Terrestrial Vegetation,NPS Terrestrial Vegetation - https://www.nps.gov/im/klmn/vegetation.htm,11/16/2022 12:51:16 PM
Taxon Group(),11,a,,7/24/2024 12:00:54 PM
Taxon Group(),13,c,,7/24/2024 12:00:55 PM
Taxon Group(),14,d,,7/24/2024 12:00:55 PM
Taxon Group(),16,f,,7/24/2024 12:02:28 PM
Taxon Group(),17,g,,7/24/2024 12:03:30 PM

