Domain,Unique Identifier,Code,Name,State Code,EPA Region Code,EPA Name,EPA Identifier,Last Change Date
Tribe(TribalCode),0,	000,Not assigned,,,,,10/4/2017 10:18:25 AM
Tribe(TribalCode),1,	001,Eastern Band of Cherokee Indians of North Carolina,NC,4,Eastern Band of Cherokee Indians,100000076,7/26/2006 10:57:50 AM
Tribe(TribalCode),585,	002,"Afognak, Native Village of",,,,,1/22/2020 9:49:02 AM
Tribe(TribalCode),2,	006,Onondaga Nation of New York,NY,2,Onondaga Nation,100000184,7/26/2006 10:57:50 AM
Tribe(TribalCode),3,	007,St. Regis Band of Mohawk Indians of New York,NY,2,Saint Regis Mohawk Tribe,100000251,7/26/2006 10:57:50 AM
Tribe(TribalCode),4,	008,Tonawanda Band of Seneca Indians of New York,NY,2,Tonawanda Band of Seneca,100000303,7/26/2006 10:57:50 AM
Tribe(TribalCode),5,	009,Tuscarora Nation of New York,NY,2,Tuscarora Nation,100000312,7/26/2006 10:57:50 AM
Tribe(TribalCode),6,	011,Oneida Nation of New York,NY,2,Oneida Indian Nation,100000182,7/26/2006 10:57:50 AM
Tribe(TribalCode),7,	012,Seneca Nation of New York,NY,2,Seneca Nation of Indians,100000267,7/26/2006 10:57:50 AM
Tribe(TribalCode),8,	013,Cayuga Nation of New York,NY,2,Cayuga Nation,100000034,7/26/2006 10:57:50 AM
Tribe(TribalCode),9,	014,Passamaquoddy Tribe of Maine,ME,1,Passamaquoddy Tribe,100000195,7/26/2006 10:57:50 AM
Tribe(TribalCode),587,	015,Passamaquoddy Tribe-Pleasant Point,,,,,1/22/2020 9:49:02 AM
Tribe(TribalCode),566,	016,Passamaquoddy Tribe of Maine (Indian Township),ME,1,Passamaquoddy Tribe of Maine (Indian Township)*,100000569,7/26/2017 8:00:23 AM
Tribe(TribalCode),567,	017,Passamaquoddy Tribe of Maine (Pleasant Point),ME,1,Passamaquoddy Tribe of Maine (Pleasant Point)*,100000570,7/26/2017 8:00:23 AM
Tribe(TribalCode),10,	018,Penobscot Tribe of Maine,ME,1,Penobscot Nation,100000199,7/26/2006 10:57:50 AM
Tribe(TribalCode),11,	019,Houlton Band of Maliseet Indians of Maine,ME,1,Houlton Band of Maliseet Indians,100000106,7/26/2006 10:57:50 AM
Tribe(TribalCode),12,	020,Mashantucket Pequot Tribe of Connecticut,CT,1,Mashantucket Pequot Indian Tribe,100000151,7/26/2006 10:57:50 AM
Tribe(TribalCode),13,	021,"Seminole Tribe of Florida, Dania, Big Cypress, Brighton, Hollywood & Tampa Reservations",FL,4,Seminole Tribe of Florida,100000266,7/26/2006 10:57:50 AM
Tribe(TribalCode),14,	026,Miccosukee Tribe of Indians of Florida,FL,4,Miccosukee Tribe of Indians,100000159,7/26/2006 10:57:50 AM
Tribe(TribalCode),15,	027,Narragansett Indian Tribe of Rhode Island,RI,1,Narragansett Indian Tribe,100000170,7/26/2006 10:57:50 AM
Tribe(TribalCode),16,	028,Poarch Band of Creek Indians of Alabama,AL; FL,4,Poarch Band of Creek Indians,100000204,7/26/2006 10:57:50 AM
Tribe(TribalCode),17,	030,Wampanoag Tribe of Gay Head of Massachusetts,MA,1,Wampanoag Tribe of Gay Head (Aquinnah),100000322,7/26/2006 10:57:50 AM
