Domain,Unique Identifier,Name,Description,Last Change Date
Well Type(WellTypeText),1,Anode,"A anode is the main component of a cathodic protection (CP) system used to protect buried or submerged metal structures from corrosion.
Anode materials: there are three main metals used as galvanic anodes, magnesium, aluminum and zinc.",7/18/2008 11:58:27 AM
Well Type(WellTypeText),25,Capture,,9/5/2014 12:00:00 AM
Well Type(WellTypeText),90,Commercial,Commercial water supply well,12/17/2018 6:53:51 PM
Well Type(WellTypeText),2,Dewater,"Dewatering is the removal of water from solid material or soil by wet classification, centrifugation, filtration, or similar solid-liquid separation processes, such as removal of residual liquid from a filter cake by a filter press as part of various industrial processes.
Construction dewatering, unwatering, or water control are common terms used to describe removal or draining groundwater or surface water from a riverbed, construction site, caisson, or mine shaft, by pumping or evaporation. ",7/18/2008 11:58:27 AM
Well Type(WellTypeText),91,Domestic,Domestic water supply well,12/17/2018 6:54:31 PM
Well Type(WellTypeText),3,Drainage,"Storm water drainage wells are Class V underground injection control (UIC) wells used to remove storm water or urban runoff from impervious surfaces such as roadways, roofs, and paved surfaces to prevent flooding, infiltration into basements, etc. The primary types of storm water drainage wells are bored wells, dug wells, and improved sinkholes.",7/18/2008 11:58:28 AM
Well Type(WellTypeText),4,Geothermal,"A geothermal heat pump or ground source heat pump (GSHP) is a central heating and/or cooling system that transfers heat to or from the ground.
It uses the earth as a heat source (in the winter) or a heat sink (in the summer). This design takes advantage of the moderate temperatures in the ground to boost efficiency and reduce the operational costs of heating and cooling systems, and may be combined with solar heating to form a geosolar system with even greater efficiency.",7/18/2008 11:58:28 AM
Well Type(WellTypeText),5,Heat Reservoir,,7/18/2008 11:58:29 AM
Well Type(WellTypeText),92,Industrial,Industrial water supply well,12/17/2018 6:55:07 PM
Well Type(WellTypeText),6,Injection,"An injection well is used to place fluid underground into porous geologic formations. These underground formations may range from deep sandstone or limestone, to a shallow soil layer. Injected fluids may include water, wastewater, brine (salt water), or water mixed with chemicals.",7/18/2008 11:58:29 AM
Well Type(WellTypeText),7,Irrigation,"Irrigation wells and systems are built for a variety of reasons, ranging from assisting the performance of various places. These places range from a garden center, to a greenhouse, to a farm, to anywhere that efficient plant growth is desired.",7/18/2008 11:58:30 AM
Well Type(WellTypeText),8,Monitoring,"The term ""monitoring well"" is limited to wells designed to monitor subsurface water in the saturated zone, existing at or above atmospheric pressure (groundwater); rather than water, water vapor, and/or gases contained in the unsaturated or vadose zone.",7/18/2008 11:58:30 AM
Well Type(WellTypeText),9,Observation,The action or process of observing something or someone carefully or in order to gain information,7/18/2008 11:58:30 AM
Well Type(WellTypeText),23,Oil/Gas Production,,12/19/2013 1:44:00 PM
Well Type(WellTypeText),10,Other,,7/18/2008 11:58:31 AM
Well Type(WellTypeText),24,Piezometer,"An instrument for measuring the pressure of a liquid or gas, or something related to pressure (such as the compressibility of liquid). ",1/23/2014 7:58:35 AM
Well Type(WellTypeText),11,Recharge,Water added to the aquifer through the unsaturated zone after infiltration and percolation following any storm rainfall event.,7/18/2008 11:58:31 AM
Well Type(WellTypeText),12,Remediation,"The action of remedying something, in particular of reversing or stopping environmental damage.",7/18/2008 11:58:32 AM
Well Type(WellTypeText),13,Repressurization,The process or act of pressurizing,7/18/2008 11:58:32 AM
Well Type(WellTypeText),14,Seismic,Relating to or denoting geological surveying methods involving vibrations produced artificially by explosions.,7/18/2008 11:58:33 AM
Well Type(WellTypeText),15,Soil Vapor Extraction,"A physical treatment process for in situ remediation of volatile contaminants in vadose zone (unsaturated) soils (EPA, 2012).",7/18/2008 11:58:33 AM
Well Type(WellTypeText),16,Soil Vapor Monitoring,Detection and monitoring of volatile organic compounds (VOCs).,7/18/2008 11:58:34 AM
Well Type(WellTypeText),17,Test Hole,A drill hole or shallow excavation to assess an ore body or to obtain rock samples to determine their structural and physical characteristics.,7/18/2008 11:58:34 AM
Well Type(WellTypeText),18,Waste Disposal,"Removing and destroying or storing damaged, used or other unwanted domestic, agricultural or industrial products and substances. Disposal includes burning, burial at landfill sites or at sea, and recycling.",7/18/2008 11:58:34 AM
Well Type(WellTypeText),19,Water Quality Assessment,"Determining the biological, chemical, and physical characteristics of water.",7/18/2008 11:58:35 AM
Well Type(WellTypeText),20,Water Supply/Production,,7/18/2008 11:58:35 AM
Well Type(WellTypeText),21,Well-Temporary,,10/17/2013 11:58:35 AM
Well Type(WellTypeText),22,Withdrawal of Water,,12/4/2013 7:58:35 AM

