VALUE,DESCRIPTION
ANG,ANGLING
ARI,ARI SAMPLER
BS,BAILED SAMPLE
BSP,BRICK SCRAPINGS
BRS,BRUSH SCRAPINGS
CG,CAGE
CLE,CAPTURE-LETHAL
CLI,CAPTURE-LIVE
CT,CHARCOAL TUBE
CM,COMPASS
CS,COMPOSITE SAMPLE
C,CONE
CMD,CONTINUOUS MONITORING DEVICE
CRB,CONTROLLED RELEASE BAILER
CO,CORE SAMPLE
DFNS,D FRAME NET SWEEP
DSD,DEEP DIFFUSION SAMPLE
DBS,DEP BACTERIA SAMPLER
WQS,DEP WATER QUALITY SAMPLER
DS,DIFFUSION SAMPLE
DN,DIPNET
DM,DIRECT MEASURE
DPP,DIRECT PROBE/PEN (IN-SITU)
DP,DIRECT PUSH SAMPLE
DPB,DIRECT PUSH-BAILED SAMPLE
DPL,DIRECT PUSH-LOW FLOW SAMPLE
DPN,DIRECT PUSH-NO PURGE SAMPLE
AL,DRILL RIG AIR LIFT
EK,ECKMAN
EP,EEL POT
EF,ELECTROFISHING
EXP,EXPERIMENTAL
EPGS,EXTENSION POLE (GRAB)
EPIS,EXTENSION POLE (IN-SITU)
FM,FLOW METER
FN,FYKE NET
GN,GILL NET
GS,GRAB SAMPLE
GSFD,GRAB SAMPLE- FIRST DRAW
HA,HAND AUGER
HNP,HAND PUMP
HP,HAND-PICKED
HD,HESTER-DENDY
HS,HIGH ACCURACY SURVEY
ISS,INCREMENTAL SOIL SAMPLE
IS,IN-SITU
IP,INTERFACE PROBE
ISCO,ISCO AUTOMATED SAMPLER
KEM,KEMMERER
KQ,KICK-QUALITATIVE
LFGF,LANDFILL GAS FIELD INSTRUMENT
LFGS,LANDFILL GAS STATIONARY INSTRUMENT
LSP,LOG SCRAPINGS
LSP1,LOG SCRAPINGS 1 INCH CIRCLES
LS,LOW ACCURACY SURVEY
LFS,LOW-FLOW SAMPLE
LFSM,LOW-FLOW SAMPLE - MODIFIED
LUM,LUMEX - PORTABLE MERCURY VAPOR ANALYZER
MQM,MAINE QUALITATIVE METHOD
M,MEASURED
DSM,MID DIFFUSION SAMPLE
MT,MINNOW TRAP
MH,MULTIHABITAT
NS,NO SAMPLE TAKEN
NP,NO-PURGE SAMPLE
NA,NOT APPLICABLE
OBS,OBSERVATION
O,OTHER
PS,PACKER SAMPLE
PPM,PERIPHYTOMETER
PER,PERISTALTIC PUMP
PDC,PETRI DISH CORES
PID,PHOTOIONIZATION DETECTOR - HAND HELD
PR,PLANT RUBBINGS
PST,PLUMBING SYSTEM
PWS,PORE WATER SAMPLER
PWSP,PORE WATER SAMPLER WITH PURGE PUMP
PRD,PREDICTED
PED,PROFUNDAL ECKMAN DREDGE
PT,PUMP TIME
PP,PURGE PUMP
RBG,ROCK BAG
RB,ROCK BASKET
RSP,ROCK SCRAPINGS
RSP1,ROCK SCRAPINGS 1 INCH CIRCLES
RSPF,ROCK SCRAPINGS FOIL
RCS,ROCK/CWD SCRAPE
RSNS,ROCK/CWD SCRAPE AND D FRAME NET SWEEP
SD7,SECCHI DISK 20 CM
SD6,SECCHI DISK 8 IN DIA SLANT GLASS MASK
SD5,SECCHI DISK FLAT GLASS MASK
SD2,SECCHI DISK FLAT GLASS NO MASK
SD1,SECCHI DISK NO SCOPE
SD4,SECCHI DISK SLANT GLASS MASK
SD3,SECCHI DISK SLANT GLASS NO MASK
DSS,SHALLOW DIFFUSION SAMPLE
S,SLIDES
SG,STAFF GAUGE
SS,STORM SAMPLER
SP,STOVEPIPE
SD,SUCTION DEVICE
SUM,SUMMA CANNISTER
SB,SURBER
TED,TEDLAR BAG
T,TRAP
TN,TRAP NET
UNK,UNKNOWN
VD,VAN DORN
VFR,VARIABLE FLOW RATE PUMP
VW,VIBRATING WIRE
DL,WATER LEVEL DATA LOGGER
WL,WATER LEVEL METER
W,WIPE SAMPLE
