VALUE,DESCRIPTION
AST,ABOVEGROUND STORAGE TANK
AW,AGRICULTURAL WELL
AQUAF,AQUACULTURE FACILITY
AQUAP,AQUACULTURE PEN
ACS,ASPHALT/CONCRETE SURFACE
BOW,BACKFILL OBSERVATION WELL
BR,BARN
BC,BEACH
BLDG,BUILDING
BS,BUILDING SUMP
BT,BULK MILK TANK
CB,CATCH BASIN
CT,COLLECTION TRENCH
DP,DETENTION POND
DWS,DISCONTINUED WATER SUPPLY (I.E. WELL EXISTS BUT NOT USED FOR DRINKING WATER)
DT,DITCH
DM,DRUM
ESW,ESTUARY
EXW,EXCAVATION GROUNDWATER
EXS,EXCAVATION SOIL
EW,EXTRACTION WELL
EWM,EXTRACTION WELL MANIFOLD
FF,FARM FIELD
FS,FARM STORAGE
FB,FEED BUNK
FHT,FISH HATCHERY TANK
FLARE,FLARE
FLDR,FLOOR DRAIN
FL,FLOWAGE
GR,GARDEN
GENP,GAS ENERGY PLANT
GECT,GAS EXTRACTION CONDENSATE TRAP
GEPH,GAS EXTRACTION POINT HORIZONTAL
GEPL,GAS EXTRACTION POINT LEACHATE
GEPV,GAS EXTRACTION POINT VERTICAL
GESGV,GAS EXTRACTION SUB-LINER GAS VENT
GM,GAS MONITOR
GP,GEOPROBE
GH,GREENHOUSE
H2S,H2S MONITOR
HT,HIGH TUNNEL
HV,HIVES
IM,IMPOUNDMENT
IWSW,INDUSTRIAL WATER SUPPLY WELL
IW,INJECTION WELL
LG,LAGOON
LK,LAKE
LFSSEP,LANDFILL SURFACE SCAN EMISSION POINT
LV,LANDFILL VENT
LSL,LANDSPREAD SOIL
LPD,LEACHATE POND
LPS,LEACHATE PUMP STATION
LS,LEACHATE SYSTEM
LDS,LEAK DETECTION SYSTEM
MH,MAN HOLE
MP,MANURE PIT
MRN,MARINE
MET,METEORLOGICAL STATION
MI,MICRO-WELL
MX,MIXER WAGON
MW,MONITORING WELL
MUW,MULTI USE WELL
MISA,MULTI-INCREMENT SAMPLE AREA
OR,ORCHARD
PDK,PADDOCK
PRD,PERIMETER DRAIN
PI,PIEZOMETER
PD,POND
PORE,PORE WATER SAMPLER
PRWS,PRIVATE WATER SUPPLY - HISTORIC
PWSS,PRIVATE WATER SUPPLY SURFACE
PWSW,PRIVATE WATER SUPPLY WELL
PM,PROCESS MATERIAL
POWS,PROCESS WATER
PC,PRODUCT CONTAINER
PWS,PUBLIC WATER SUPPLY - HISTORIC
PUWSS,PUBLIC WATER SUPPLY SURFACE
PUWSW,PUBLIC WATER SUPPLY WELL
PP,PUSH POINT
QA,QA/QC
QR,QUARRY
RE,RESERVOIR
RI,RIVER
SP,SEDIMENTATION POND
SM,SEEP MARSH
SPT,SEPTIC TANK
SL,SILO
SA,SOIL AUGER
SGP,SOIL GAS PROBE
SPB,SPHAGNUM BOG
SPR,SPRING/SEEP
SW,STANDING WATER (E.G. PUDDLE)
STW,STILLING WELL
SPM,STOCKPILE MATERIAL
SD,STORM DRAIN
ST,STREAM
SRB,STREAM/RIVER BIOMONITORING
SS,SURFACE SOIL
TB,TEST BORING
TP,TEST PIT
TS,TREATMENT SYSTEM
UD,UNDER DRAIN
UST,UNDERGROUND STORAGE TANK
UNK,UNKNOWN
VMS,VAPOR MITIGATION SYSTEM
WP,WASTE PILE
WLD,WETLAND
WD,WICK DRAIN
WI,WILDERNESS
