VALUE,DESCRIPTION
AL,A & L LABS
A4,"A4 SCIENTIFIC- THE WOODLANDS, TX"
AB,"ABB ENVIRONMENTAL SERVICES, INC."
RL,"ABSOLUTE RESOURCE ASSOCIATES, NH (FORMERLY RESOURCE LABORATORIES)"
ANS,ACADEMY OF NATURAL SCIENCES
ACS,"ACCUSTAR - MEDWAY, MA"
AU,ACCUTEST
AC,"ACHERON, INC."
AP,AETNA PUMPS INC
AO,"AIR TOXICS, LTD, FOLSOM, CA"
AA,"ALPHA ANALYTICAL LAB - WESTBOROUGH, MA"
AAWH,"ALPHA ANALYTICAL WOODS HOLE LAB - MANSFIELD, MA"
ALSHO,"ALS - HOLLAND, MI"
ALSH,"ALS - HOUSTON, TX"
ALSK,"ALS - KELSO, WA"
ALSM,"ALS - MIDDLETOWN, PA"
ALSR,"ALS - ROCHESTER, NY"
ALSSV,"ALS - SIMI VALLEY, CA"
ALT,"ALTA ANALYTICAL- WILMINGTON, NC"
AFW,"AMEC FOSTER WHEELER SEDIMENT LAB - DURHAM, NC"
AAL,"AMERICAN ANAYLTICAL LABORATORIES LLC - FARMINGDALE, NY"
AMN,"AMERICAN ENVIRONMENTAL NETWORK, INC"
AM,AMES
AR,AMRO ENVIRONMENTAL LABORATORIES - NH
AN,ANA-LAB CORPORATION TX  LELEAP #02008
ASIW,"ANALYTICAL SERVICES, INC.- WILLISTON, VT"
AE,ANALYTICS ENVIRONMENTAL LABORATORY
AMSD,ANSON-MADISON SANITARY DISTRICT
APPL,"APPL, INC.- CLOVIS, CA"
AH,"APPLIED PHYSICS AND CHEMISTRY LAB, CHINO, CA"
AQM,"AQUA MAINE, INC. ROCKPORT, ME"
AQ,"AQUARIAN ANALYTICAL INC, CANTERBURY, NH"
ARCI,"AQUATIC RESOURCES CENTER, INC. - NASHVILLE, TN"
AV,"AREVA NP INC., WESTBOROUGH, MA"
ARM,"ARMSTRONG LAB, BROOKS AFB- SAN ANTONIO, TX"
AT,"AROOSTOOK TESTING & CONSULTING LAB, INC."
AS,"ASK LABORATORIES, AMARILLO, TX"
AET,ATLANTIC ECOTECHNOLOGIES
ARC,"ATLANTIC REFERENCE CENTRE, NB"
ATM,ATMAA INC
AW,AUBURN WATER DISTRICT
AD,AUGUSTA WATER DISTRICT
AX,AXYS ANALYTICAL SERVICES
BNB,"B & B LABORATORIES, TEXAS"
BA,BANGOR WATER DISTRICT
BCAS,"BARON CONSULTING CO ANLAYTICAL SERVICES.- MILFORD, CT"
