VALUE,DESCRIPTION
PMC,% MODERN CARBON
TRUE/FALSE,1=TRUE 0=FALSE
ACRES,ACRES
ADMI,ADMI COLOR UNIT
SD FT,ARBITRARY SITE DATUM FEET
SD M,ARBITRARY SITE DATUM METERS
BFT,BEAUFORT SCALE
BTU/MIN,BRITISH THERMAL UNITS PER MINUTE
BTU/LB,BRITISH THERMAL UNITS PER POUND
CCE/100ML,CALIBRATOR CELL EQUIVALENTS/100ML
CELLS/BEAD,CELLS PER BEAD (PLFA)
CELLS/ML,CELLS PER MILLILITER
CELLS/SQ CM,CELLS PER SQUARE CENTIMETER
CM,CENTIMETERS
CM/DAY,CENTIMETERS PER DAY
CM/SEC,CENTIMETERS PER SECOND
CM/YEAR,CENTIMETERS PER YEAR
C/ML,COLONIES PER MILLILITER
CFU/100ML,COLONY FORMING UNITS PER 100 MILLILITERS
UNIT,COLOR UNIT
C/L,COPIES PER LITER (QPCR TEST)
CT,COUNT
CT/0.1M2,COUNT PER 0.1 METERS SQUARED
E3/H,CUBIC ERGS PER HOUR
CFD,CUBIC FEET PER DAY
CFH,CUBIC FEET PER HOUR
CFM,CUBIC FEET PER MINUTE
CFS,CUBIC FEET PER SECOND
CFY,CUBIC FEET PER YEAR
M3,CUBIC METERS
CMD,CUBIC METERS PER DAY
CMH,CUBIC METERS PER HOUR
CMM,CUBIC METERS PER MINUTE
CMS,CUBIC METERS PER SECOND
CMY,CUBIC METERS PER YEAR
CUBIC UM/CELL,CUBIC MICROMETERS PER CELL
CUBIC UM/ML,CUBIC MICROMETERS PER MILLILITER
CUBIC UM/SQ CM,CUBIC MICROMETERS PER SQUARE CENTIMETER
DAYS,DAYS
DEG MAG,DEGREES (MAGNETIC NORTH)
DEG TRUE,DEGREES (TRUE NORTH)
DEG C,DEGREES CELCIUS (TEMPERATURE)
DEG F,DEGREES FAHRENHEIT
E/L,ENUMERATION PER LITER (QPCR TEST)
FT,FEET
FTAGS,FEET ABOVE GROUND SURFACE
FTAMP,FEET ABOVE MEASURING POINT
FTAT,FEET ABOVE TRANSDUCER
FGS,FEET BELOW GROUND SURFACE
FMP,FEET BELOW MEASURING POINT
FT/DAY,FEET PER DAY
FT/MIN,FEET PER MINUTE
FT/SEC,FEET PER SECOND
FT/YEAR,FEET PER YEAR
