VALUE,DESCRIPTION
A,AIR
AL,ALGAE
AQ,AQUEOUS (FOR QC DATA ONLY)
AT,AQUIFER TEST
AS,ASH (BOTTOM & FLY)
ASP,ASPHALT
BC,BEDROCK CHIPS
BD,BLOOD
BA,BOTTOM ASH
BM,BUILDING MATERIAL
CAR,CARCASS
CP,CELLULOSE PULP
CH,CHEESE
CO,COMPOST
CON,CONDENSATE
DW,DRINKING WATER
EG,EGG
EA,EPIPHYTIC ALGAE
FB,FIELD BLANK
FE,FEED
FBQ,FILM BRIQUETTE
FI,FILTER
FS,FISH (COUNTS)
FHTW,FISH HATCHERY TANK WATER
FA,FLY ASH
FP,FREE PRODUCT (FOR QC DATA ONLY)
FR,FRUIT
GZ,GIZZARD
G,GONAD
GR,GRAINS (GROWN BY FARM)
GRS,GRASS
GW,GROUNDWATER
HSG,HEAD SPACE GAS
HT,HEART
HM,HEMP
HP,HEPATOPANCREAS (TOMALLEY)
HR,HERBS
HN,HONEY
IA,INDOOR AIR
KD,KIDNEY
LFG,LANDFILL GAS
L,LEACHATE
LG,LEAFY GREENS
LD,LEAK DETECTION FLUIDS
LQC,LIQUID CONDENSATE
LV,LIVER
MI,MACROINVERTEBRATE
MA,MANURE
MPS,MAPLE SYRUP
MEA,MEAT
MLK,MILK
MC,MINERAL CRUST
MU,MUSCLE
MTB,MUSCLE TISSUE BIOPSY
MR,MUSHROOM
N,NEAT SAMPLE
NRV,NON-ROOT VEGETABLES
NO,NOTIFICATION
O,OFFAL
OA,OUTDOOR AIR
PE,PERFORMANCE EVALUATION
PC,PHYSICAL CHARACTERISTIC
PP,PHYTOPLANKTON
POL,POLYMER
PO,PORE WATER
PR,PRECIPITATION
PW,PROCESS WATER
R,REANALYSIS
RI,RINSATE SAMPLE
RN,RAIN PRECIPITATION
RV,ROOT VEGETABLES
SA,SAWDUST
SD,SEDIMENT
SPG,SEPTAGE
SK,SKIN
SF,SKINLESS FILLET
SOF,SKIN-ON FILLET
SU,SLUDGE
SUL,SLUDGE - LIMED
SUU,SLUDGE - UNLIMED
SNW,SNOW PRECIPITATION
SL,SOIL
SW,SURFACE WATER
GS,SOIL GAS
SLD,SOLID (FOR QC DATA ONLY)
SR,STORM WATER RUNOFF
SSG,SUBSLAB GAS
SW,SURFACE WATER
SWS,SURFACE WATER SUBSTRATE
TS,TISSUE (FOR QC DATA ONLY)
TO,TONGUE
U,UNKNOWN
V,VEGETATION
W,WASTE
WW,WASTE WATER
WH,WHOLE
WWHG,WHOLE WITHOUT HEAD OR GUT
WS,WHOLE WITHOUT SKIN
WP,WIPE
WC,WOOD CHIPS
