VALUE,DESCRIPTION
ALE,Alewife (Alosa pseudoharengus)
EEL,American eel (Anguilla rostrata)
AML,American lobster (Homarus americanus)
OYS,American or Eastern oyster (Crassostrea virginica)
AMS,American shad (Alosa sapidissima)
LLS,Atlantic salmon (Salmo salar sebago)
LLSH,Atlantic salmon (Salmo salar sebago) - hatchery
SIL,Atlantic silverside (Menidia menidia)
BKDA,BACKGROUND SAMPLE - DOCUMENTED ANTHROPOGENIC: CONCENTRATIONS OF SUBSTANCES PRESENT DUE TO MULTIPLE OR WIDESPREAD HUMAN-MADE SOURCES
BKDN,BACKGROUND SAMPLE - DOCUMENTED NATURAL: CONCENTRATIONS OF SUBSTANCES PRESENT WITH MINIMAL HUMAN INFLUENCE
BKU,BACKGROUND SAMPLE - UNDOCUMENTED SITE SPECIFIC: SAMPLE COLLECTED FOR SPECIFIC SITE WITHOUT SUFFICIENT STUDY TO DOCUMENT SOURCE OF SUBSTANCES PRESENT
BA,BALEAGE
BKF,Banded killifish (Fundulus diaphanus)
BVR,BEAVER
BE,BEEF
BI,BISON
BLC,Black crappie (Pomoxis nigromaculatus)
BLM,Blue mussel (Mytilus edulis)
BLF,Bluefish (Pomatomus saltatrix)
BG,BROKEN GLASSWARE (USE THIS CODE IN COMBINATION WITH SAMPLE COLLECTION METHOD NS =NO SAMPLE TAKEN)
BKT,Brook trout (Salvelinus fontinalis)
BKTH,Brook trout (Salvelinus fontinalis) - hatchery
BBH,Brown bullhead (Ameiurus nebulosus)
BNT,Brown trout (Salmo trutta) 
BNTH,Brown trout (Salmo trutta) - hatchery
CSK,Burbot (Lota lota)
PKL,Chain pickerel (Esox niger)
CH,CHICKEN
CMS,Common shiner (Luxilus cornutus)
CS,CORN SILAGE
CSN,CORN SNAPLAGE
DE,DEER
DIS,DISAPPEAR (SECCHI)
DI,DISCONTINUED WELL (USE THIS CODE IN COMBINATION WITH SAMPLE COLLECTION METHOD NS =NO SAMPLE TAKEN)
DC,DOWNCAST (VERTICAL PROFILE)
DR,DRY (USE THIS CODE IN COMBINATION WITH SAMPLE COLLECTION METHOD NS =NO SAMPLE TAKEN)
BKDAD,DUPLICATE BACKGROUND SAMPLE - DOCUMENTED ANTHROPOGENIC
BKDND,DUPLICATE BACKGROUND SAMPLE - DOCUMENTED NATURAL: CONCENTRATIONS OF SUBSTANCES PRESENT WITH MINIMAL HUMAN INFLUENCE
BKUD,DUPLICATE BACKGROUND SAMPLE - UNDOCUMENTED SITE SPECIFIC
CME,Eastern elliptio (Elliptio complanata)
FD,FIELD DUPLICATE
FLF,Fallfish (Semotilus corporalis)
FP,FREE PRODUCT (USE THIS CODE IN COMBINATION WITH SAMPLE COLLECTION METHOD NS =NO SAMPLE TAKEN)
FZ,FROZEN (USE THIS CODE IN COMBINATION WITH SAMPLE COLLECTION METHOD NS =NO SAMPLE TAKEN)
GO,GOAT
GRF,GRAIN FOR FEED
IA,INACCESSIBLE (USE THIS CODE IN COMBINATION WITH SAMPLE COLLECTION METHOD NS =NO SAMPLE TAKEN)
IM,INSTRUMENT MALFUNCTION
IN,INSUFFICIENT SAMPLE AMOUNT (USE THIS CODE IN COMBINATION WITH SAMPLE COLLECTION METHOD NS =NO SAMPLE TAKEN)
LKT,Lake trout (Salvelinus namaycush)
LKTH,Lake trout (Salvelinus namaycush) - hatchery
LKW,Lake whitefish (Coregonus clupeaformis)
LA,LAMB
LMB,Largemouth bass (Micropterus salmoides)
MO,MOOSE
MCG,Mummichog (Fundulus heteroclitus)
MUS,Muskellunge (Esox masquinongy)
MU,MUTTON
NPK,Northern pike (Esox lucius)
NA,NOT APPLICABLE
NES,NORMAL ENVIRONMENTAL SAMPLE
POL,Pollock (Pollachius virens)
PO,PORK
PKS,Pumpkinseed (Lepomis gibbosus)
RAB,RABBIT
SLT,Rainbow smelt (Osmerus mordax)
RBT,Rainbow trout (Oncorhynchus mykiss) 
RBTH,Rainbow trout (Oncorhynchus mykiss) - hatchery
R,REANALYSIS
RES,REAPPEAR (SECCHI)
RSD,RESEARCH AND DEVELOPMENT
RCR,Rock crab (Cancer irroratus)
RGU,Rock gunnel (Pholis gunnellus)
RWF,Round whitefish (Prosopium cylindraceum)
OR,SAMPLE NOT TAKEN-OTHER REASON (USE THIS CODE IN COMBINATION WITH SAMPLE COLLECTION METHOD NS =NO SAMPLE TAKEN)
SD,SAMPLER DEPLOYED
SH,SHEEP
SI,SILAGE
SG,SMALL GAME
SMB,Smallmouth bass (Micropterus dolomieu)
SSC,Soft-shell clam (Mya arenaria)
SPK,Splake (Salvelinus namaycush X Salvelinus fontinalis) 
SPKH,Splake (Salvelinus namaycush X Salvelinus fontinalis) - hatchery
S,SPLIT
STB,Striped bass (Morone saxatilis)
TMR,TOTAL MIX RATION
TU,TURKEY
UC,UPCAST (VERTICAL PROFILE)
VE,VEAL
WF,WATERFOWL
AR,WELL IS OVERFLOWING UNDER ARTESIAN CONDITIONS
WCF,White catfish (Ameiurus catus)
WHP,White perch (Morone americana)
WHS,White sucker (Catostomus commersoni)
YLP,Yellow perch (Perca flavescens)
