VALUE,DESCRIPTION,DEFINITION
AGRIC/CHEM,AGRICULTURAL CHEMICAL USE,"An area of large commercial farming and orchards that appear on field inspection to have pesticide use. Evidence includes tractors with spray bars, totally weed-free crops, etc. Also includes large farm supply stores noted during watershed inspections."
AGRIC/FARM,AGRICULTURAL FARM PRODUCTS,"Includes dairies, feedlots, large herds of livestock, and chicken farms, as well as areas with recent sludge spreading as part of the Statewide PFAS Investigation under Maine LD 1600"
AGRIC/NITR_BAC,AGRICULTURE NITRATE/BACTERIA,"Includes dairies, feedlots, large herds of livestock, and chicken farms, as well as areas with recent manure spreading noted during watershed inspections.  "
AQUA,AQUACULTURE,A facility for farming aquatic species
ASH UTIL,ASH UTILIZATION SITE,"A site at which the residue (biomass ash) remaining after the combustion of tree parts, paper mill sludge, wood from demolition debris, peat, or the combustion of wood with fossil fuels or other material has been spread on the land."
AUTO_JUNK,AUTOMOBILE GRAVEYARD/JUNKYARD,"An area used to store three or more unserviceable, discarded, worn out or junked motor vehicles. Also includes an area used for automobile dismantling, salvage and recycling operations."
BK_STUDY,BACKGROUND STUDY SITE,A site used for determination of background contamination concentrations.
BEN_REUSE,BENEFICIAL REUSE,A site involved in the use or reuse of a solid waste or waste derived product
BROWNFIELDS,BROWNFIELDS,Site that receives federal or state funding or services under the Brownfields Program for a property where redevelopment is impeded by the presence or potential presence of contaminants.
COMP,COMPOST SITE,A site at which compost is produced. Compost is the humus-like product resulting from the biological decomposition of organic matter under aerobic conditions at high temperature. This material may be used as a soil amendment.
CON/DEM,CONSTRUCTION/DEMOLITION SITE,"A site at which debris resulting from construction, remodeling, repair, and demolition of structures have been disposed. It excludes asbestos and other special wastes."
DMP,DIOXIN MONITORING PROGRAM,"Sites at which organisms (predominantly fish, occasionally shellfish) and sediments are monitored for contamination with the chemicals dioxins/furans."
DRY_CLN,DRY CLEANER,A former or current location of a dry cleaners which is currently using or historically used perchloroethylene (PCE).
ENG_SWDS,ENGINEERED SUBSURFACE WASTEWATER DISPOSAL SYSTEM,A system which is designed to infiltrate flows of greater than 2000 gallons per day into the ground.
ESTUARINE,ESTUARINE,"A site in an estuary (semi-enclosed coastal water with a free connection with the open sea, and salinity typically 0.5 to 25 parts per thousand) where monitoring or assessment activities for water or sediment quality, habitat condition, and/or biological "
E_WASTE_COLL,E-WASTE COLLECTION,"Any type of electronic waste (E-Waste) storage facility, including consolidators, generator-owned central accumulators, or municipal transfer stations or recycling centers."
FISH_HATCHERY,FISH HATCHERY,A facility for the breeding and rearing of fish species.
IND_COMPL,INDUSTRIAL COMPLEX,A non-point source site where manufactured goods are produced.  Runoff and infiltration of water from these sites may carry substances which can contaminate ground water.
INF/RET_BAS,INFILTRATION/RETENTION BASIN,"A site at which run-off or other surface flow enters a property other than where it originated, and where water is held while it slowly penetrates through the ground surface into the subsurface soil. "
LAKE/POND,LAKE/POND,"A body of (usually fresh) lentic water surrounded by land where monitoring or assessment activities for quality of water, sediment, habitat, and/or biolgoical communities occur. Includes lake and pond ecosystems."
LF_COM,LANDFILL COMMERCIAL,Commercially owned and/or operated solid waste landfill licensed to accept municipal solid waste (from household and normal commercial sources).
LF_MUN,LANDFILL MUNICIPAL,Municipally owned and operated solid landfill licensed to accept municipal solid waste (from household and normal commercial sources). 
LF_SPW,LANDFILL SPECIAL WASTE,"A landfill that accepts special solid waste (not from household or typical commercial sources, that exists in an unusual quantity/state such that it may impair effective waste management, or threaten human safety or the environment and requires special ha"
